QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Tua Tagovailoa (13125069),Tua Tagovailoa,13125069,QB/S-FLEX,9200,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,25.98
,,,,,,,,,QB,Justin Fields (13125071),Justin Fields,13125071,QB/S-FLEX,9000,FAU@OSU 08/31/2019 12:00PM ET,OSU,6.89
,,,,,,,,,RB,Patrick Taylor Jr. (13125073),Patrick Taylor Jr.,13125073,RB/FLEX/S-FLEX,8500,MISS@MEM 08/31/2019 12:00PM ET,MEM,19.56
,,,,,,,,,WR,Jerry Jeudy (13125076),Jerry Jeudy,13125076,WR/FLEX/S-FLEX,8300,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,19.83
,,,,,,,,,QB,Peyton Ramsey (13125079),Peyton Ramsey,13125079,QB/S-FLEX,8200,IU@BALL 08/31/2019 12:00PM ET,IU,21.12
,,,,,,,,,RB,Stevie Scott III (13125081),Stevie Scott III,13125081,RB/FLEX/S-FLEX,8100,IU@BALL 08/31/2019 12:00PM ET,IU,18.28
,,,,,,,,,QB,Ryan Willis (13125084),Ryan Willis,13125084,QB/S-FLEX,8000,VT@BC 08/31/2019 04:00PM ET,VT,22.17
,,,,,,,,,RB,J.K. Dobbins (13125086),J.K. Dobbins,13125086,RB/FLEX/S-FLEX,7900,FAU@OSU 08/31/2019 12:00PM ET,OSU,16.97
,,,,,,,,,QB,Keytaon Thompson (13125089),Keytaon Thompson,13125089,QB/S-FLEX,7800,MSST@ULL 08/31/2019 12:00PM ET,MSST,15.65
,,,,,,,,,RB,Kylin Hill (13125091),Kylin Hill,13125091,RB/FLEX/S-FLEX,7800,MSST@ULL 08/31/2019 12:00PM ET,MSST,15.46
,,,,,,,,,WR,Damonte Coxie (13125094),Damonte Coxie,13125094,WR/FLEX/S-FLEX,7800,MISS@MEM 08/31/2019 12:00PM ET,MEM,17.6
,,,,,,,,,QB,Jake Bentley (13125097),Jake Bentley,13125097,QB/S-FLEX,7700,SCAR@UNC 08/31/2019 03:30PM ET,SCAR,21.30
,,,,,,,,,QB,Tommy Stevens (13125099),Tommy Stevens,13125099,QB/S-FLEX,7600,MSST@ULL 08/31/2019 12:00PM ET,MSST,5.57
,,,,,,,,,RB,AJ Dillon (13125101),AJ Dillon,13125101,RB/FLEX/S-FLEX,7500,VT@BC 08/31/2019 04:00PM ET,BC,18.54
,,,,,,,,,QB,K.J. Costello (13125104),K.J. Costello,13125104,QB/S-FLEX,7400,NW@STAN 08/31/2019 04:00PM ET,STAN,20.43
,,,,,,,,,RB,Najee Harris (13125111),Najee Harris,13125111,RB/FLEX/S-FLEX,7300,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,7.33
