QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Spencer Sanders (13210473),Spencer Sanders,13210473,QB/S-FLEX,9800,OKST@ORST 08/30/2019 10:30PM ET,OKST,0
,,,,,,,,,RB,Jonathan Taylor (13210475),Jonathan Taylor,13210475,RB/FLEX/S-FLEX,9400,WISC@USF 08/30/2019 07:00PM ET,WISC,27.8
,,,,,,,,,WR,Tylan Wallace (13210478),Tylan Wallace,13210478,WR/FLEX/S-FLEX,8800,OKST@ORST 08/30/2019 10:30PM ET,OKST,25.58
,,,,,,,,,WR,Rondale Moore (13210481),Rondale Moore,13210481,WR/FLEX/S-FLEX,8400,PUR@NEV 08/30/2019 09:30PM ET,PUR,28.08
,,,,,,,,,WR,Laviska Shenault Jr. (13210484),Laviska Shenault Jr.,13210484,WR/FLEX/S-FLEX,8200,CSU@COL 08/30/2019 10:00PM ET,COL,30.96
,,,,,,,,,RB,Chuba Hubbard (13210487),Chuba Hubbard,13210487,RB/FLEX/S-FLEX,8100,OKST@ORST 08/30/2019 10:30PM ET,OKST,13.84
,,,,,,,,,RB,Jermar Jefferson (13210490),Jermar Jefferson,13210490,RB/FLEX/S-FLEX,7900,OKST@ORST 08/30/2019 10:30PM ET,ORST,22.39
,,,,,,,,,QB,Steven Montez (13210493),Steven Montez,13210493,QB/S-FLEX,7800,CSU@COL 08/30/2019 10:00PM ET,COL,20.31
,,,,,,,,,QB,Jordan Love (13210495),Jordan Love,13210495,QB/S-FLEX,7700,UTST@WAKE 08/30/2019 08:00PM ET,UTST,25.61
,,,,,,,,,QB,Brian Lewerke (13210497),Brian Lewerke,13210497,QB/S-FLEX,7600,TLSA@MSU 08/30/2019 07:00PM ET,MSU,13.46
,,,,,,,,,QB,Dru Brown (13210499),Dru Brown,13210499,QB/S-FLEX,7400,OKST@ORST 08/30/2019 10:30PM ET,OKST,0
