QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,WR,Gabriel Davis (13485345),Gabriel Davis,13485345,WR/FLEX/S-FLEX,7700,UCF@CINCY 10/04/2019 08:00PM ET,UCF,25.78
,,,,,,,,,QB,Dillon Gabriel (13485348),Dillon Gabriel,13485348,QB/S-FLEX,7500,UCF@CINCY 10/04/2019 08:00PM ET,UCF,23.40
,,,,,,,,,RB,Michael Warren II (13485350),Michael Warren II,13485350,RB/FLEX/S-FLEX,7300,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,18.98
,,,,,,,,,QB,Desmond Ridder (13485353),Desmond Ridder,13485353,QB/S-FLEX,7000,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,17.6
,,,,,,,,,QB,Josh Love (13485355),Josh Love,13485355,QB/S-FLEX,6900,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,16.38
,,,,,,,,,WR,Tre Walker (13485357),Tre Walker,13485357,WR/FLEX/S-FLEX,6700,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,22
,,,,,,,,,QB,Tevaka Salanoa-Tuioti (13485360),Tevaka Salanoa-Tuioti,13485360,QB/S-FLEX,6500,UNM@SJSU 10/04/2019 10:00PM ET,UNM,17.71
,,,,,,,,,RB,Adrian Killins Jr. (13485362),Adrian Killins Jr.,13485362,RB/FLEX/S-FLEX,6300,UCF@CINCY 10/04/2019 08:00PM ET,UCF,15.84
,,,,,,,,,WR,Alec Pierce (13485365),Alec Pierce,13485365,WR/FLEX/S-FLEX,6100,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,12.68
,,,,,,,,,WR,Tre Nixon (13485368),Tre Nixon,13485368,WR/FLEX/S-FLEX,5800,UCF@CINCY 10/04/2019 08:00PM ET,UCF,15.75
,,,,,,,,,RB,Greg McCrae (13485371),Greg McCrae,13485371,RB/FLEX/S-FLEX,5700,UCF@CINCY 10/04/2019 08:00PM ET,UCF,12.98
,,,,,,,,,WR,Josiah Deguara (13485374),Josiah Deguara,13485374,WR/FLEX/S-FLEX,5600,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,13.62
,,,,,,,,,QB,Chance La Chapelle (13485377),Chance La Chapelle,13485377,QB/S-FLEX,5500,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,0
,,,,,,,,,WR,Jermaine Braddock (13485381),Jermaine Braddock,13485381,WR/FLEX/S-FLEX,5400,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,11.8
,,,,,,,,,RB,Ahmari Davis (13485393),Ahmari Davis,13485393,RB/FLEX/S-FLEX,5400,UNM@SJSU 10/04/2019 10:00PM ET,UNM,18.48
,,,,,,,,,QB,Darriel Mack Jr. (13485379),Darriel Mack Jr.,13485379,QB/S-FLEX,5400,UCF@CINCY 10/04/2019 08:00PM ET,UCF,10.58
,,,,,,,,,WR,Bailey Gaither (13485387),Bailey Gaither,13485387,WR/FLEX/S-FLEX,5300,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,7.45
,,,,,,,,,WR,Bruno Labelle (13485384),Bruno Labelle,13485384,WR/FLEX/S-FLEX,5300,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,8.9
,,,,,,,,,WR,Isaiah Hamilton (13485390),Isaiah Hamilton,13485390,WR/FLEX/S-FLEX,5200,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,10.17
,,,,,,,,,WR,Jordan Kress (13485396),Jordan Kress,13485396,WR/FLEX/S-FLEX,5100,UNM@SJSU 10/04/2019 10:00PM ET,UNM,17.95
,,,,,,,,,RB,DeJon Packer (13485399),DeJon Packer,13485399,RB/FLEX/S-FLEX,5100,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,10.88
,,,,,,,,,QB,Sheriron Jones (13485405),Sheriron Jones,13485405,QB/S-FLEX,5000,UNM@SJSU 10/04/2019 10:00PM ET,UNM,10.22
,,,,,,,,,WR,Marlon Williams (13485402),Marlon Williams,13485402,WR/FLEX/S-FLEX,5000,UCF@CINCY 10/04/2019 08:00PM ET,UCF,9.88
,,,,,,,,,RB,Otis Anderson (13485407),Otis Anderson,13485407,RB/FLEX/S-FLEX,5000,UCF@CINCY 10/04/2019 08:00PM ET,UCF,11.6
,,,,,,,,,QB,Ben Bryant (13485410),Ben Bryant,13485410,QB/S-FLEX,4900,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,2.78
,,,,,,,,,RB,Bentavious Thompson (13485412),Bentavious Thompson,13485412,RB/FLEX/S-FLEX,4900,UCF@CINCY 10/04/2019 08:00PM ET,UCF,10.32
,,,,,,,,,RB,Tavion Thomas (13485415),Tavion Thomas,13485415,RB/FLEX/S-FLEX,4800,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,8.63
,,,,,,,,,WR,Rashad Medaris (13485418),Rashad Medaris,13485418,WR/FLEX/S-FLEX,4700,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,4.65
,,,,,,,,,RB,Bryson Carroll (13485421),Bryson Carroll,13485421,RB/FLEX/S-FLEX,4600,UNM@SJSU 10/04/2019 10:00PM ET,UNM,8.67
,,,,,,,,,QB,Trae Hall (13485432),Trae Hall,13485432,QB/S-FLEX,4500,UNM@SJSU 10/04/2019 10:00PM ET,UNM,1.5
,,,,,,,,,QB,Brandt Hughes (13485434),Brandt Hughes,13485434,QB/S-FLEX,4500,UNM@SJSU 10/04/2019 10:00PM ET,UNM,8.22
,,,,,,,,,QB,Connor Genal (13485436),Connor Genal,13485436,QB/S-FLEX,4500,UNM@SJSU 10/04/2019 10:00PM ET,UNM,0
,,,,,,,,,QB,Alec Trujillo (13485438),Alec Trujillo,13485438,QB/S-FLEX,4500,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,0
,,,,,,,,,QB,Nick Nash (13485440),Nick Nash,13485440,QB/S-FLEX,4500,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,11.44
,,,,,,,,,QB,Matt Der Torossian (13485442),Matt Der Torossian,13485442,QB/S-FLEX,4500,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,0
,,,,,,,,,QB,Jake Simmons (13485444),Jake Simmons,13485444,QB/S-FLEX,4500,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,0
,,,,,,,,,QB,Jake Sopko (13485424),Jake Sopko,13485424,QB/S-FLEX,4500,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,0
,,,,,,,,,QB,Michael Lindauer (13485426),Michael Lindauer,13485426,QB/S-FLEX,4500,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,0
,,,,,,,,,QB,Cam Jones (13485428),Cam Jones,13485428,QB/S-FLEX,4500,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,0
,,,,,,,,,QB,Cole Kosco (13485430),Cole Kosco,13485430,QB/S-FLEX,4500,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,0
,,,,,,,,,QB,Brandon Wimbush (13485446),Brandon Wimbush,13485446,QB/S-FLEX,4500,UCF@CINCY 10/04/2019 08:00PM ET,UCF,4.07
,,,,,,,,,QB,Quadry Jones (13485448),Quadry Jones,13485448,QB/S-FLEX,4500,UCF@CINCY 10/04/2019 08:00PM ET,UCF,1.54
,,,,,,,,,QB,Hayden Kingston (13485450),Hayden Kingston,13485450,QB/S-FLEX,4500,UCF@CINCY 10/04/2019 08:00PM ET,UCF,0
,,,,,,,,,QB,McKenzie Milton (13485452),McKenzie Milton,13485452,QB/S-FLEX,4500,UCF@CINCY 10/04/2019 08:00PM ET,UCF,0
,,,,,,,,,RB,Tyler Nevens (13485454),Tyler Nevens,13485454,RB/FLEX/S-FLEX,4400,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,4.8
,,,,,,,,,WR,Jake Hescock (13485457),Jake Hescock,13485457,WR/FLEX/S-FLEX,4400,UCF@CINCY 10/04/2019 08:00PM ET,UCF,6.9
,,,,,,,,,WR,Aaron Molina (13485460),Aaron Molina,13485460,WR/FLEX/S-FLEX,4100,UNM@SJSU 10/04/2019 10:00PM ET,UNM,9.23
,,,,,,,,,WR,JaQuan Blackwell (13485463),JaQuan Blackwell,13485463,WR/FLEX/S-FLEX,4100,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,7
,,,,,,,,,WR,Jayshon Jackson (13485466),Jayshon Jackson,13485466,WR/FLEX/S-FLEX,4000,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,4.37
,,,,,,,,,WR,Thomas Geddis (13485469),Thomas Geddis,13485469,WR/FLEX/S-FLEX,4000,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,5.38
,,,,,,,,,WR,Anselem Umeh (13485478),Anselem Umeh,13485478,WR/FLEX/S-FLEX,3800,UNM@SJSU 10/04/2019 10:00PM ET,UNM,4.55
,,,,,,,,,WR,Cedric Patterson III (13485481),Cedric Patterson III,13485481,WR/FLEX/S-FLEX,3800,UNM@SJSU 10/04/2019 10:00PM ET,UNM,9.2
,,,,,,,,,WR,Billy Humphreys (13485484),Billy Humphreys,13485484,WR/FLEX/S-FLEX,3800,UNM@SJSU 10/04/2019 10:00PM ET,SJSU,3.7
,,,,,,,,,RB,Gerrid Doaks (13485472),Gerrid Doaks,13485472,RB/FLEX/S-FLEX,3800,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,3.75
,,,,,,,,,RB,Michael Kopaygorodsky (13485475),Michael Kopaygorodsky,13485475,RB/FLEX/S-FLEX,3800,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,7.9
,,,,,,,,,WR,Alex Harris (13485487),Alex Harris,13485487,WR/FLEX/S-FLEX,3800,UCF@CINCY 10/04/2019 08:00PM ET,UCF,7.2
,,,,,,,,,WR,Trent Cloud (13485490),Trent Cloud,13485490,WR/FLEX/S-FLEX,3700,UCF@CINCY 10/04/2019 08:00PM ET,CINCY,3.5
,,,,,,,,,WR,Ke'von Ahmad (13485493),Ke'von Ahmad,13485493,WR/FLEX/S-FLEX,3700,UCF@CINCY 10/04/2019 08:00PM ET,UCF,2.5
,,,,,,,,,RB,Daevon Vigilant (13485496),Daevon Vigilant,13485496,RB/FLEX/S-FLEX,3600,UNM@SJSU 10/04/2019 10:00PM ET,UNM,2.92
,,,,,,,,,WR,Anu Somoye (13485499),Anu Somoye,13485499,WR/FLEX/S-FLEX,3600,UNM@SJSU 10/04/2019 10:00PM ET,UNM,5.35
