QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Sean Clifford (13438370),Sean Clifford,13438370,QB/S-FLEX,7900,PSU@UMD 09/27/2019 08:00PM ET,PSU,22.18
,,,,,,,,,RB,Anthony McFarland Jr. (13438306),Anthony McFarland Jr.,13438306,RB/FLEX/S-FLEX,7700,PSU@UMD 09/27/2019 08:00PM ET,UMD,23.47
,,,,,,,,,RB,Eno Benjamin (13438274),Eno Benjamin,13438274,RB/FLEX/S-FLEX,7600,ASU@CAL 09/27/2019 10:30PM ET,ASU,21.48
,,,,,,,,,QB,Josh Jackson (13438222),Josh Jackson,13438222,QB/S-FLEX,7300,PSU@UMD 09/27/2019 08:00PM ET,UMD,19.19
,,,,,,,,,QB,Chase Garbers (13438283),Chase Garbers,13438283,QB/S-FLEX,7100,ASU@CAL 09/27/2019 10:30PM ET,CAL,18.68
,,,,,,,,,QB,Donald Hammond III (13438430),Donald Hammond III,13438430,QB/S-FLEX,6900,SJSU@AF 09/27/2019 08:00PM ET,AF,20.17
,,,,,,,,,QB,Josh Love (13438194),Josh Love,13438194,QB/S-FLEX,6800,SJSU@AF 09/27/2019 08:00PM ET,SJSU,19.6
,,,,,,,,,RB,Kadin Remsberg (13438432),Kadin Remsberg,13438432,RB/FLEX/S-FLEX,6400,SJSU@AF 09/27/2019 08:00PM ET,AF,15.57
,,,,,,,,,QB,Jayden Daniels (13438552),Jayden Daniels,13438552,QB/S-FLEX,6300,ASU@CAL 09/27/2019 10:30PM ET,ASU,20.76
,,,,,,,,,WR,Brandon Aiyuk (13438409),Brandon Aiyuk,13438409,WR/FLEX/S-FLEX,6200,ASU@CAL 09/27/2019 10:30PM ET,ASU,20.6
,,,,,,,,,WR,KJ Hamler (13438312),KJ Hamler,13438312,WR/FLEX/S-FLEX,6100,PSU@UMD 09/27/2019 08:00PM ET,PSU,17.03
,,,,,,,,,RB,Christopher Brown Jr. (13438485),Christopher Brown Jr.,13438485,RB/FLEX/S-FLEX,6000,ASU@CAL 09/27/2019 10:30PM ET,CAL,17.18
,,,,,,,,,WR,Tre Walker (13438350),Tre Walker,13438350,WR/FLEX/S-FLEX,5900,SJSU@AF 09/27/2019 08:00PM ET,SJSU,31.1
,,,,,,,,,QB,Will Levis (13438444),Will Levis,13438444,QB/S-FLEX,5800,PSU@UMD 09/27/2019 08:00PM ET,PSU,8.58
,,,,,,,,,WR,Dontay Demus Jr. (13438470),Dontay Demus Jr.,13438470,WR/FLEX/S-FLEX,5500,PSU@UMD 09/27/2019 08:00PM ET,UMD,13.57
,,,,,,,,,QB,Devon Modster (13438255),Devon Modster,13438255,QB/S-FLEX,5400,ASU@CAL 09/27/2019 10:30PM ET,CAL,0.64
,,,,,,,,,QB,Tyrrell Pigrome (13438250),Tyrrell Pigrome,13438250,QB/S-FLEX,5400,PSU@UMD 09/27/2019 08:00PM ET,UMD,5.13
,,,,,,,,,RB,Jake Funk (13438224),Jake Funk,13438224,RB/FLEX/S-FLEX,5300,PSU@UMD 09/27/2019 08:00PM ET,UMD,17.45
,,,,,,,,,RB,Journey Brown (13438367),Journey Brown,13438367,RB/FLEX/S-FLEX,5200,PSU@UMD 09/27/2019 08:00PM ET,PSU,13.4
,,,,,,,,,QB,Isaiah Sanders (13438318),Isaiah Sanders,13438318,QB/S-FLEX,5100,SJSU@AF 09/27/2019 08:00PM ET,AF,1.67
,,,,,,,,,QB,Chance La Chapelle (13438526),Chance La Chapelle,13438526,QB/S-FLEX,5100,SJSU@AF 09/27/2019 08:00PM ET,SJSU,0
,,,,,,,,,WR,Bailey Gaither (13438191),Bailey Gaither,13438191,WR/FLEX/S-FLEX,5000,SJSU@AF 09/27/2019 08:00PM ET,SJSU,6.8
,,,,,,,,,RB,Marcel Dancy (13438491),Marcel Dancy,13438491,RB/FLEX/S-FLEX,4900,ASU@CAL 09/27/2019 10:30PM ET,CAL,10.38
,,,,,,,,,WR,Nikko Remigio (13438497),Nikko Remigio,13438497,WR/FLEX/S-FLEX,4900,ASU@CAL 09/27/2019 10:30PM ET,CAL,10.8
,,,,,,,,,WR,Kyle Williams (13438216),Kyle Williams,13438216,WR/FLEX/S-FLEX,4800,ASU@CAL 09/27/2019 10:30PM ET,ASU,6.95
,,,,,,,,,QB,Joey Yellen (13438556),Joey Yellen,13438556,QB/S-FLEX,4800,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,RB,DeJon Packer (13438364),DeJon Packer,13438364,RB/FLEX/S-FLEX,4800,SJSU@AF 09/27/2019 08:00PM ET,SJSU,10.87
,,,,,,,,,WR,Kekoa Crawford (13438268),Kekoa Crawford,13438268,WR/FLEX/S-FLEX,4700,ASU@CAL 09/27/2019 10:30PM ET,CAL,10.12
,,,,,,,,,RB,Tayon Fleet-Davis (13438297),Tayon Fleet-Davis,13438297,RB/FLEX/S-FLEX,4700,PSU@UMD 09/27/2019 08:00PM ET,UMD,10.3
,,,,,,,,,RB,Ricky Slade (13438455),Ricky Slade,13438455,RB/FLEX/S-FLEX,4700,PSU@UMD 09/27/2019 08:00PM ET,PSU,5.63
,,,,,,,,,WR,Jermaine Braddock (13438476),Jermaine Braddock,13438476,WR/FLEX/S-FLEX,4700,SJSU@AF 09/27/2019 08:00PM ET,SJSU,11.8
,,,,,,,,,RB,Javon Leake (13438303),Javon Leake,13438303,RB/FLEX/S-FLEX,4600,PSU@UMD 09/27/2019 08:00PM ET,UMD,12.6
,,,,,,,,,WR,Geraud Sanders (13438320),Geraud Sanders,13438320,WR/FLEX/S-FLEX,4600,SJSU@AF 09/27/2019 08:00PM ET,AF,13.43
,,,,,,,,,QB,Dillon Sterling-Cole (13438214),Dillon Sterling-Cole,13438214,QB/S-FLEX,4500,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Jordan Duncan (13438219),Jordan Duncan,13438219,WR/FLEX/S-FLEX,4500,ASU@CAL 09/27/2019 10:30PM ET,CAL,6.58
,,,,,,,,,WR,Jake Tonges (13438387),Jake Tonges,13438387,WR/FLEX/S-FLEX,4500,ASU@CAL 09/27/2019 10:30PM ET,CAL,10.95
,,,,,,,,,QB,Robby Rowell (13438500),Robby Rowell,13438500,QB/S-FLEX,4500,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,QB,Ethan Long (13438554),Ethan Long,13438554,QB/S-FLEX,4500,ASU@CAL 09/27/2019 10:30PM ET,ASU,1.07
,,,,,,,,,QB,Jack Newman (13438567),Jack Newman,13438567,QB/S-FLEX,4500,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,QB,Trenton Bourguet (13438622),Trenton Bourguet,13438622,QB/S-FLEX,4500,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,QB,Spencer Brasch (13438688),Spencer Brasch,13438688,QB/S-FLEX,4500,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Tyler Mabry (13438185),Tyler Mabry,13438185,WR/FLEX/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,UMD,10.1
,,,,,,,,,QB,Max Bortenschlager (13438245),Max Bortenschlager,13438245,QB/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,UMD,0
,,,,,,,,,QB,Michael Shuster (13438260),Michael Shuster,13438260,QB/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,PSU,-0.5
,,,,,,,,,QB,Donny Sanders (13438356),Donny Sanders,13438356,QB/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,UMD,0
,,,,,,,,,QB,Tyler DeSue (13438401),Tyler DeSue,13438401,QB/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,UMD,6.5
,,,,,,,,,WR,Jahan Dotson (13438446),Jahan Dotson,13438446,WR/FLEX/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,PSU,12.1
,,,,,,,,,QB,Ta'Quan Roberson (13438572),Ta'Quan Roberson,13438572,QB/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,PSU,0
,,,,,,,,,QB,Michael Johnson Jr. (13438574),Michael Johnson Jr.,13438574,QB/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,PSU,0
,,,,,,,,,QB,Isaac Rumery (13438576),Isaac Rumery,13438576,QB/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,PSU,0
,,,,,,,,,RB,Noah Cain (13438578),Noah Cain,13438578,RB/FLEX/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,PSU,11.63
,,,,,,,,,QB,Lance Legendre (13438610),Lance Legendre,13438610,QB/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,UMD,3
,,,,,,,,,QB,Eric Najarian (13438612),Eric Najarian,13438612,QB/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,UMD,0
,,,,,,,,,RB,Devyn Ford (13438639),Devyn Ford,13438639,RB/FLEX/S-FLEX,4500,PSU@UMD 09/27/2019 08:00PM ET,PSU,10.73
,,,,,,,,,RB,Taven Birdow (13438329),Taven Birdow,13438329,RB/FLEX/S-FLEX,4500,SJSU@AF 09/27/2019 08:00PM ET,AF,6.8
,,,,,,,,,QB,Mike Schmidt (13438399),Mike Schmidt,13438399,QB/S-FLEX,4500,SJSU@AF 09/27/2019 08:00PM ET,AF,0
,,,,,,,,,QB,Nick Nash (13438590),Nick Nash,13438590,QB/S-FLEX,4500,SJSU@AF 09/27/2019 08:00PM ET,SJSU,8.95
,,,,,,,,,QB,Jake Simmons (13438617),Jake Simmons,13438617,QB/S-FLEX,4500,SJSU@AF 09/27/2019 08:00PM ET,SJSU,0
,,,,,,,,,QB,Warren Bryan (13438648),Warren Bryan,13438648,QB/S-FLEX,4500,SJSU@AF 09/27/2019 08:00PM ET,AF,0
,,,,,,,,,QB,Alec Trujillo (13438683),Alec Trujillo,13438683,QB/S-FLEX,4500,SJSU@AF 09/27/2019 08:00PM ET,SJSU,0
,,,,,,,,,QB,Matt Der Torossian (13438708),Matt Der Torossian,13438708,QB/S-FLEX,4500,SJSU@AF 09/27/2019 08:00PM ET,SJSU,0
,,,,,,,,,WR,Pat Freiermuth (13438441),Pat Freiermuth,13438441,WR/FLEX/S-FLEX,4400,PSU@UMD 09/27/2019 08:00PM ET,PSU,12
,,,,,,,,,RB,Tyler Nevens (13438347),Tyler Nevens,13438347,RB/FLEX/S-FLEX,4400,SJSU@AF 09/27/2019 08:00PM ET,SJSU,5.2
,,,,,,,,,WR,Isaiah Holiness (13438671),Isaiah Holiness,13438671,WR/FLEX/S-FLEX,4400,SJSU@AF 09/27/2019 08:00PM ET,SJSU,16.6
,,,,,,,,,WR,Frank Darby (13438227),Frank Darby,13438227,WR/FLEX/S-FLEX,4200,ASU@CAL 09/27/2019 10:30PM ET,ASU,7.15
,,,,,,,,,RB,Nolan Eriksen (13438332),Nolan Eriksen,13438332,RB/FLEX/S-FLEX,4200,SJSU@AF 09/27/2019 08:00PM ET,AF,4.95
,,,,,,,,,RB,Timothy Jackson (13438656),Timothy Jackson,13438656,RB/FLEX/S-FLEX,4200,SJSU@AF 09/27/2019 08:00PM ET,AF,5.6
,,,,,,,,,WR,JaQuan Blackwell (13438230),JaQuan Blackwell,13438230,WR/FLEX/S-FLEX,4100,SJSU@AF 09/27/2019 08:00PM ET,SJSU,7.63
,,,,,,,,,WR,DJ Turner (13438252),DJ Turner,13438252,WR/FLEX/S-FLEX,4000,PSU@UMD 09/27/2019 08:00PM ET,UMD,6.13
,,,,,,,,,WR,Chigoziem Okonkwo (13438403),Chigoziem Okonkwo,13438403,WR/FLEX/S-FLEX,4000,PSU@UMD 09/27/2019 08:00PM ET,UMD,8.03
,,,,,,,,,WR,Isaiah Hamilton (13438479),Isaiah Hamilton,13438479,WR/FLEX/S-FLEX,4000,SJSU@AF 09/27/2019 08:00PM ET,SJSU,10.17
,,,,,,,,,WR,Darryl Jones (13438473),Darryl Jones,13438473,WR/FLEX/S-FLEX,3900,PSU@UMD 09/27/2019 08:00PM ET,UMD,6.93
,,,,,,,,,WR,Weston Carr (13438543),Weston Carr,13438543,WR/FLEX/S-FLEX,3900,PSU@UMD 09/27/2019 08:00PM ET,PSU,5.7
,,,,,,,,,WR,Carlos Carriere (13438291),Carlos Carriere,13438291,WR/FLEX/S-FLEX,3800,PSU@UMD 09/27/2019 08:00PM ET,UMD,8.8
,,,,,,,,,WR,Sean Nelson (13438309),Sean Nelson,13438309,WR/FLEX/S-FLEX,3800,PSU@UMD 09/27/2019 08:00PM ET,UMD,7.6
,,,,,,,,,WR,Justin Shorter (13438452),Justin Shorter,13438452,WR/FLEX/S-FLEX,3800,PSU@UMD 09/27/2019 08:00PM ET,PSU,4.47
,,,,,,,,,WR,Brian Cobbs (13438467),Brian Cobbs,13438467,WR/FLEX/S-FLEX,3800,PSU@UMD 09/27/2019 08:00PM ET,UMD,5.5
,,,,,,,,,WR,Brenton Strange (13438587),Brenton Strange,13438587,WR/FLEX/S-FLEX,3800,PSU@UMD 09/27/2019 08:00PM ET,PSU,7.4
,,,,,,,,,WR,Benjamin Waters (13438323),Benjamin Waters,13438323,WR/FLEX/S-FLEX,3800,SJSU@AF 09/27/2019 08:00PM ET,AF,10.95
,,,,,,,,,RB,Christian Mallard (13438326),Christian Mallard,13438326,RB/FLEX/S-FLEX,3800,SJSU@AF 09/27/2019 08:00PM ET,AF,5.3
,,,,,,,,,RB,Joshua Stoner (13438435),Joshua Stoner,13438435,RB/FLEX/S-FLEX,3700,SJSU@AF 09/27/2019 08:00PM ET,AF,3.25
,,,,,,,,,WR,Trevon Clark (13438702),Trevon Clark,13438702,WR/FLEX/S-FLEX,3600,ASU@CAL 09/27/2019 10:30PM ET,CAL,6
,,,,,,,,,RB,Lorenzo Harrison III (13438247),Lorenzo Harrison III,13438247,RB/FLEX/S-FLEX,3600,PSU@UMD 09/27/2019 08:00PM ET,UMD,6.2
,,,,,,,,,WR,Daniel George (13438449),Daniel George,13438449,WR/FLEX/S-FLEX,3600,PSU@UMD 09/27/2019 08:00PM ET,PSU,4.8
,,,,,,,,,WR,Billy Humphreys (13438233),Billy Humphreys,13438233,WR/FLEX/S-FLEX,3600,SJSU@AF 09/27/2019 08:00PM ET,SJSU,4.3
,,,,,,,,,WR,Jordan Kerley (13438561),Jordan Kerley,13438561,WR/FLEX/S-FLEX,3500,ASU@CAL 09/27/2019 10:30PM ET,ASU,4.85
,,,,,,,,,WR,Jeremiah Hawkins (13438285),Jeremiah Hawkins,13438285,WR/FLEX/S-FLEX,3400,ASU@CAL 09/27/2019 10:30PM ET,CAL,2.62
,,,,,,,,,WR,Ryan Newsome (13438205),Ryan Newsome,13438205,WR/FLEX/S-FLEX,3300,ASU@CAL 09/27/2019 10:30PM ET,ASU,3.15
,,,,,,,,,WR,Gavin Reinwald (13438288),Gavin Reinwald,13438288,WR/FLEX/S-FLEX,3300,ASU@CAL 09/27/2019 10:30PM ET,CAL,2.5
,,,,,,,,,RB,Isaiah Floyd (13438418),Isaiah Floyd,13438418,RB/FLEX/S-FLEX,3300,ASU@CAL 09/27/2019 10:30PM ET,ASU,2.35
,,,,,,,,,WR,Ricky Pearsall (13438564),Ricky Pearsall,13438564,WR/FLEX/S-FLEX,3300,ASU@CAL 09/27/2019 10:30PM ET,ASU,2.75
,,,,,,,,,WR,Derrick Deese Jr. (13438517),Derrick Deese Jr.,13438517,WR/FLEX/S-FLEX,3300,SJSU@AF 09/27/2019 08:00PM ET,SJSU,6.63
,,,,,,,,,WR,Tommy Hudson (13438182),Tommy Hudson,13438182,WR/FLEX/S-FLEX,3200,ASU@CAL 09/27/2019 10:30PM ET,ASU,1.7
,,,,,,,,,WR,Curtis Hodges (13438277),Curtis Hodges,13438277,WR/FLEX/S-FLEX,3200,ASU@CAL 09/27/2019 10:30PM ET,ASU,4.8
,,,,,,,,,WR,Geordon Porter (13438421),Geordon Porter,13438421,WR/FLEX/S-FLEX,3200,ASU@CAL 09/27/2019 10:30PM ET,ASU,2.1
,,,,,,,,,WR,Nolan Matthews (13438558),Nolan Matthews,13438558,WR/FLEX/S-FLEX,3200,ASU@CAL 09/27/2019 10:30PM ET,ASU,2.3
,,,,,,,,,WR,Brett Foley (13438188),Brett Foley,13438188,WR/FLEX/S-FLEX,3200,SJSU@AF 09/27/2019 08:00PM ET,SJSU,1.75
,,,,,,,,,WR,Kade Waguespack (13438341),Kade Waguespack,13438341,WR/FLEX/S-FLEX,3200,SJSU@AF 09/27/2019 08:00PM ET,AF,1.7
,,,,,,,,,WR,Brandon Pierce (13438734),Brandon Pierce,13438734,WR/FLEX/S-FLEX,3100,ASU@CAL 09/27/2019 10:30PM ET,ASU,1.7
,,,,,,,,,WR,Zack Kuntz (13438424),Zack Kuntz,13438424,WR/FLEX/S-FLEX,3100,PSU@UMD 09/27/2019 08:00PM ET,PSU,1.8
,,,,,,,,,RB,Alex Netherda (13438196),Alex Netherda,13438196,RB/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0.7
,,,,,,,,,RB,Paul Lucas (13438208),Paul Lucas,13438208,RB/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Jared Bubak (13438211),Jared Bubak,13438211,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Collin Moore (13438236),Collin Moore,13438236,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Ricky Walker III (13438239),Ricky Walker III,13438239,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,-0.5
,,,,,,,,,RB,DeShawn Collins (13438262),DeShawn Collins,13438262,RB/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Mark Walton (13438280),Mark Walton,13438280,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Evan King (13438384),Evan King,13438384,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,RB,A.J. Carter (13438412),A.J. Carter,13438412,RB/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,1.4
,,,,,,,,,RB,Demetrious Flowers (13438415),Demetrious Flowers,13438415,RB/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Grant Miles (13438461),Grant Miles,13438461,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Nick Alftin (13438482),Nick Alftin,13438482,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,McCallan Castles (13438488),McCallan Castles,13438488,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Ryan Regan (13438494),Ryan Regan,13438494,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Ben Skinner (13438502),Ben Skinner,13438502,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Monroe Young (13438505),Monroe Young,13438505,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Keith Davis (13438508),Keith Davis,13438508,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Tannor Park (13438511),Tannor Park,13438511,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Angel Ruiz (13438514),Angel Ruiz,13438514,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Makai Polk (13438569),Makai Polk,13438569,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,1.65
,,,,,,,,,WR,Josh Hart (13438624),Josh Hart,13438624,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,RB,Demarcus Johnson (13438627),Demarcus Johnson,13438627,RB/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,RB,Nick Johnson (13438630),Nick Johnson,13438630,RB/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,RB,Elijah Juarez (13438633),Elijah Juarez,13438633,RB/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Lucas Allen (13438685),Lucas Allen,13438685,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,RB,DeCarlos Brooks (13438690),DeCarlos Brooks,13438690,RB/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Elijah Mojarro (13438693),Elijah Mojarro,13438693,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Chris Rogers (13438696),Chris Rogers,13438696,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Jared Staub (13438699),Jared Staub,13438699,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,CAL,0
,,,,,,,,,WR,Andre Johnson (13438716),Andre Johnson,13438716,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Devin Neal (13438719),Devin Neal,13438719,WR/FLEX/S-FLEX,3000,ASU@CAL 09/27/2019 10:30PM ET,ASU,0
,,,,,,,,,WR,Nick Bowers (13438199),Nick Bowers,13438199,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,PSU,0
,,,,,,,,,WR,Dan Chisena (13438202),Dan Chisena,13438202,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,PSU,0
,,,,,,,,,WR,Noah Barnes (13438242),Noah Barnes,13438242,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,UMD,0
,,,,,,,,,WR,Isaac Lutz (13438257),Isaac Lutz,13438257,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,PSU,0
,,,,,,,,,WR,Rayshad Lewis (13438265),Rayshad Lewis,13438265,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,UMD,0
,,,,,,,,,RB,Nick Eury (13438271),Nick Eury,13438271,RB/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,PSU,10.4
,,,,,,,,,WR,Jayden Comma (13438294),Jayden Comma,13438294,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,UMD,0
,,,,,,,,,WR,MJ Jarrell (13438300),MJ Jarrell,13438300,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,UMD,0
,,,,,,,,,WR,Colton Maxwell (13438315),Colton Maxwell,13438315,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,PSU,0
,,,,,,,,,WR,Mac Hippenhammer (13438372),Mac Hippenhammer,13438372,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,PSU,-1
,,,,,,,,,WR,Cam Sullivan-Brown (13438375),Cam Sullivan-Brown,13438375,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,PSU,2.55
,,,,,,,,,WR,Justin Weller (13438378),Justin Weller,13438378,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,PSU,2
,,,,,,,,,WR,Sean Savoy (13438381),Sean Savoy,13438381,WR/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,UMD,0
,,,,,,,,,RB,Antonio DiCerbo (13438390),Antonio DiCerbo,13438390,RB/FLEX/S-FLEX,3000,PSU@UMD 09/27/2019 08:00PM ET,UMD,0
