QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Khalil Tate (13139485),Khalil Tate,13139485,QB/S-FLEX,9000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,21.87
,,,,,,,,,QB,Cole McDonald (13139487),Cole McDonald,13139487,QB/S-FLEX,8800,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,28.76
,,,,,,,,,RB,J.J. Taylor (13139489),J.J. Taylor,13139489,RB/FLEX/S-FLEX,7700,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,18.72
,,,,,,,,,QB,Feleipe Franks (13139492),Feleipe Franks,13139492,QB/S-FLEX,7200,MIA@UF 08/24/2019 07:00PM ET,UF,20.42
,,,,,,,,,WR,Cedric Byrd II (13139494),Cedric Byrd II,13139494,WR/FLEX/S-FLEX,6900,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,16.79
,,,,,,,,,RB,Lamical Perine (13139503),Lamical Perine,13139503,RB/FLEX/S-FLEX,6200,MIA@UF 08/24/2019 07:00PM ET,UF,12.97
,,,,,,,,,QB,Jarren Williams (13139497),Jarren Williams,13139497,QB/S-FLEX,6100,MIA@UF 08/24/2019 07:00PM ET,MIA,6.88
,,,,,,,,,QB,Tate Martell (13139499),Tate Martell,13139499,QB/S-FLEX,6000,MIA@UF 08/24/2019 07:00PM ET,MIA,6.59
,,,,,,,,,QB,N'Kosi Perry (13139501),N'Kosi Perry,13139501,QB/S-FLEX,6000,MIA@UF 08/24/2019 07:00PM ET,MIA,9.91
,,,,,,,,,WR,JoJo Ward (13139515),JoJo Ward,13139515,WR/FLEX/S-FLEX,6000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,14.46
,,,,,,,,,WR,Cedric Peterson (13139509),Cedric Peterson,13139509,WR/FLEX/S-FLEX,5900,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,7.53
,,,,,,,,,RB,DeeJay Dallas (13139512),DeeJay Dallas,13139512,RB/FLEX/S-FLEX,5800,MIA@UF 08/24/2019 07:00PM ET,MIA,9.86
,,,,,,,,,WR,Melquise Stovall (13139506),Melquise Stovall,13139506,WR/FLEX/S-FLEX,5700,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,,,WR,Brian Casteel (13139518),Brian Casteel,13139518,WR/FLEX/S-FLEX,5500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,,,WR,Jeff Thomas (13139521),Jeff Thomas,13139521,WR/FLEX/S-FLEX,5300,MIA@UF 08/24/2019 07:00PM ET,MIA,11.11
,,,,,,,,,WR,Van Jefferson (13139524),Van Jefferson,13139524,WR/FLEX/S-FLEX,5100,MIA@UF 08/24/2019 07:00PM ET,UF,11.02
,,,,,,,,,WR,K.J. Osborn (13139527),K.J. Osborn,13139527,WR/FLEX/S-FLEX,5000,MIA@UF 08/24/2019 07:00PM ET,MIA,14.91
,,,,,,,,,RB,Dameon Pierce (13139533),Dameon Pierce,13139533,RB/FLEX/S-FLEX,4800,MIA@UF 08/24/2019 07:00PM ET,UF,6.04
,,,,,,,,,WR,Trevon Grimes (13139536),Trevon Grimes,13139536,WR/FLEX/S-FLEX,4800,MIA@UF 08/24/2019 07:00PM ET,UF,6.45
,,,,,,,,,WR,Jason-Matthew Sharsh (13139539),Jason-Matthew Sharsh,13139539,WR/FLEX/S-FLEX,4700,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,6.04
,,,,,,,,,QB,Carson Proctor (13139545),Carson Proctor,13139545,QB/S-FLEX,4500,MIA@UF 08/24/2019 07:00PM ET,MIA,0
