QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,RB,D'Andre Swift (13218115),D'Andre Swift,13218115,RB/FLEX/S-FLEX,9500,UGA@VAND 08/31/2019 07:30PM ET,UGA,18.26
,,,,,,,,,QB,Sam Ehlinger (13218118),Sam Ehlinger,13218118,QB/S-FLEX,9300,LT@UT 08/31/2019 08:00PM ET,UT,28.14
,,,,,,,,,QB,Bryce Perkins (13218120),Bryce Perkins,13218120,QB/S-FLEX,8400,UV@PITT 08/31/2019 07:30PM ET,UV,27.72
,,,,,,,,,RB,Larry Rountree III (13218122),Larry Rountree III,13218122,RB/FLEX/S-FLEX,8200,MIZZ@WYO 08/31/2019 07:30PM ET,MIZZ,17.14
,,,,,,,,,RB,John Emery Jr. (13218125),John Emery Jr.,13218125,RB/FLEX/S-FLEX,8000,GSU@LSU 08/31/2019 07:30PM ET,LSU,0
,,,,,,,,,QB,Kelly Bryant (13218128),Kelly Bryant,13218128,QB/S-FLEX,7900,MIZZ@WYO 08/31/2019 07:30PM ET,MIZZ,12.61
,,,,,,,,,QB,Jake Fromm (13218130),Jake Fromm,13218130,QB/S-FLEX,7800,UGA@VAND 08/31/2019 07:30PM ET,UGA,15.95
,,,,,,,,,RB,Keaontay Ingram (13218132),Keaontay Ingram,13218132,RB/FLEX/S-FLEX,7700,LT@UT 08/31/2019 08:00PM ET,UT,11.37
,,,,,,,,,RB,Cam Akers (13218135),Cam Akers,13218135,RB/FLEX/S-FLEX,7600,BSU@FSU 08/31/2019 07:00PM ET,FSU,13.01
,,,,,,,,,QB,Joe Burrow (13218138),Joe Burrow,13218138,QB/S-FLEX,7500,GSU@LSU 08/31/2019 07:30PM ET,LSU,20.44
,,,,,,,,,QB,Casey Thompson (13218452),Casey Thompson,13218452,QB/S-FLEX,7500,LT@UT 08/31/2019 08:00PM ET,UT,0
,,,,,,,,,WR,Justin Jefferson (13218140),Justin Jefferson,13218140,WR/FLEX/S-FLEX,7400,GSU@LSU 08/31/2019 07:30PM ET,LSU,14.39
,,,,,,,,,WR,Nico Collins (13218143),Nico Collins,13218143,WR/FLEX/S-FLEX,7300,MTSU@MICH 08/31/2019 07:30PM ET,MICH,10.71
,,,,,,,,,RB,CJ Verdell (13218146),CJ Verdell,13218146,RB/FLEX/S-FLEX,7200,ORE@AUB 08/31/2019 07:30PM ET,ORE,18.95
,,,,,,,,,WR,Tamorrion Terry (13218149),Tamorrion Terry,13218149,WR/FLEX/S-FLEX,7100,BSU@FSU 08/31/2019 07:00PM ET,FSU,13.62
,,,,,,,,,QB,Shea Patterson (13218152),Shea Patterson,13218152,QB/S-FLEX,7000,MTSU@MICH 08/31/2019 07:30PM ET,MICH,17.25
,,,,,,,,,WR,Collin Johnson (13218159),Collin Johnson,13218159,WR/FLEX/S-FLEX,6900,LT@UT 08/31/2019 08:00PM ET,UT,16.88
,,,,,,,,,QB,Joey Gatewood (13218157),Joey Gatewood,13218157,QB/S-FLEX,6800,ORE@AUB 08/31/2019 07:30PM ET,AUB,2.8
,,,,,,,,,WR,Jalen Knox (13218167),Jalen Knox,13218167,WR/FLEX/S-FLEX,6700,MIZZ@WYO 08/31/2019 07:30PM ET,MIZZ,9.3
,,,,,,,,,QB,Justin Herbert (13218176),Justin Herbert,13218176,QB/S-FLEX,6600,ORE@AUB 08/31/2019 07:30PM ET,ORE,20.90
,,,,,,,,,WR,John Hightower (13218170),John Hightower,13218170,WR/FLEX/S-FLEX,6500,BSU@FSU 08/31/2019 07:00PM ET,BSU,16.74
,,,,,,,,,QB,James Blackman (13218165),James Blackman,13218165,QB/S-FLEX,6400,BSU@FSU 08/31/2019 07:00PM ET,FSU,13.27
,,,,,,,,,WR,Adrian Hardy (13218173),Adrian Hardy,13218173,WR/FLEX/S-FLEX,6400,LT@UT 08/31/2019 08:00PM ET,LT,18.35
,,,,,,,,,WR,Donovan Peoples-Jones (13218178),Donovan Peoples-Jones,13218178,WR/FLEX/S-FLEX,6300,MTSU@MICH 08/31/2019 07:30PM ET,MICH,12.76
,,,,,,,,,WR,Kalija Lipscomb (13218162),Kalija Lipscomb,13218162,WR/FLEX/S-FLEX,6200,UGA@VAND 08/31/2019 07:30PM ET,VAND,19.08
,,,,,,,,,QB,D'Wan Mathis (13218380),D'Wan Mathis,13218380,QB/S-FLEX,6200,UGA@VAND 08/31/2019 07:30PM ET,UGA,0
,,,,,,,,,WR,Johnathon Johnson (13218181),Johnathon Johnson,13218181,WR/FLEX/S-FLEX,6100,MIZZ@WYO 08/31/2019 07:30PM ET,MIZZ,12.73
,,,,,,,,,RB,Ke'Shawn Vaughn (13218154),Ke'Shawn Vaughn,13218154,RB/FLEX/S-FLEX,6000,UGA@VAND 08/31/2019 07:30PM ET,VAND,21.12
,,,,,,,,,WR,Hasise Dubois (13218187),Hasise Dubois,13218187,WR/FLEX/S-FLEX,6000,UV@PITT 08/31/2019 07:30PM ET,UV,10.68
,,,,,,,,,WR,Seth Williams (13218184),Seth Williams,13218184,WR/FLEX/S-FLEX,5900,ORE@AUB 08/31/2019 07:30PM ET,AUB,11.24
,,,,,,,,,QB,Brennan Armstrong (13218468),Brennan Armstrong,13218468,QB/S-FLEX,5900,UV@PITT 08/31/2019 07:30PM ET,UV,4.63
,,,,,,,,,QB,Dylan McCaffrey (13218409),Dylan McCaffrey,13218409,QB/S-FLEX,5800,MTSU@MICH 08/31/2019 07:30PM ET,MICH,5.79
,,,,,,,,,RB,JaTarvious Whitlow (13218190),JaTarvious Whitlow,13218190,RB/FLEX/S-FLEX,5700,ORE@AUB 08/31/2019 07:30PM ET,AUB,13.18
,,,,,,,,,WR,Maurice Ffrench (13218196),Maurice Ffrench,13218196,WR/FLEX/S-FLEX,5700,UV@PITT 08/31/2019 07:30PM ET,PITT,11.56
,,,,,,,,,WR,Devin Duvernay (13218199),Devin Duvernay,13218199,WR/FLEX/S-FLEX,5700,LT@UT 08/31/2019 08:00PM ET,UT,8.83
,,,,,,,,,RB,Tru Wilson (13218193),Tru Wilson,13218193,RB/FLEX/S-FLEX,5700,MTSU@MICH 08/31/2019 07:30PM ET,MICH,4.32
,,,,,,,,,WR,Albert Okwuegbunam (13218238),Albert Okwuegbunam,13218238,WR/FLEX/S-FLEX,5600,MIZZ@WYO 08/31/2019 07:30PM ET,MIZZ,14.29
,,,,,,,,,WR,D.J. Matthews (13218202),D.J. Matthews,13218202,WR/FLEX/S-FLEX,5600,BSU@FSU 08/31/2019 07:00PM ET,FSU,8.56
,,,,,,,,,WR,Tarik Black (13218205),Tarik Black,13218205,WR/FLEX/S-FLEX,5600,MTSU@MICH 08/31/2019 07:30PM ET,MICH,2.5
,,,,,,,,,WR,Anthony Schwartz (13218208),Anthony Schwartz,13218208,WR/FLEX/S-FLEX,5500,ORE@AUB 08/31/2019 07:30PM ET,AUB,10.07
,,,,,,,,,WR,Tyler Simmons (13218211),Tyler Simmons,13218211,WR/FLEX/S-FLEX,5500,UGA@VAND 08/31/2019 07:30PM ET,UGA,6.66
,,,,,,,,,WR,Terrace Marshall Jr. (13218214),Terrace Marshall Jr.,13218214,WR/FLEX/S-FLEX,5500,GSU@LSU 08/31/2019 07:30PM ET,LSU,3.47
,,,,,,,,,QB,Myles Brennan (13218399),Myles Brennan,13218399,QB/S-FLEX,5500,GSU@LSU 08/31/2019 07:30PM ET,LSU,2.6
