QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Kellen Mond (13370772),Kellen Mond,13370772,QB/S-FLEX,7900,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,21.99
,,,,,,,,,RB,Cam Akers (13370781),Cam Akers,13370781,RB/FLEX/S-FLEX,7800,UL@FSU 09/21/2019 03:30PM ET,FSU,30.43
,,,,,,,,,RB,Larry Rountree III (13370865),Larry Rountree III,13370865,RB/FLEX/S-FLEX,7700,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,22.4
,,,,,,,,,QB,Kelly Bryant (13370517),Kelly Bryant,13370517,QB/S-FLEX,7500,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,19.51
,,,,,,,,,QB,Bo Nix (13371274),Bo Nix,13371274,QB/S-FLEX,7400,AUB@TA&M 09/21/2019 03:30PM ET,AUB,16.57
,,,,,,,,,RB,Salvon Ahmed (13370830),Salvon Ahmed,13370830,RB/FLEX/S-FLEX,7300,UW@BYU 09/21/2019 03:30PM ET,UW,16.2
,,,,,,,,,QB,Dillon Gabriel (13371320),Dillon Gabriel,13371320,QB/S-FLEX,7000,UCF@PITT 09/21/2019 03:30PM ET,UCF,25.52
,,,,,,,,,RB,JaTarvious Whitlow (13370854),JaTarvious Whitlow,13370854,RB/FLEX/S-FLEX,6800,AUB@TA&M 09/21/2019 03:30PM ET,AUB,19.87
,,,,,,,,,WR,Jhamon Ausbon (13370761),Jhamon Ausbon,13370761,WR/FLEX/S-FLEX,6700,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,19.1
,,,,,,,,,WR,Quartney Davis (13370630),Quartney Davis,13370630,WR/FLEX/S-FLEX,6600,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,15.7
,,,,,,,,,QB,Zach Wilson (13371036),Zach Wilson,13371036,QB/S-FLEX,6600,UW@BYU 09/21/2019 03:30PM ET,BYU,16.13
,,,,,,,,,QB,James Blackman (13370868),James Blackman,13370868,QB/S-FLEX,6500,UL@FSU 09/21/2019 03:30PM ET,FSU,24.21
,,,,,,,,,WR,Bryan Edwards (13370584),Bryan Edwards,13370584,WR/FLEX/S-FLEX,6300,SCAR@MIZZ 09/21/2019 04:00PM ET,SCAR,17.1
,,,,,,,,,QB,Ryan Hilinski (13371263),Ryan Hilinski,13371263,QB/S-FLEX,6300,SCAR@MIZZ 09/21/2019 04:00PM ET,SCAR,23.07
,,,,,,,,,QB,Jawon Pass (13370920),Jawon Pass,13370920,QB/S-FLEX,6300,UL@FSU 09/21/2019 03:30PM ET,UL,24.05
,,,,,,,,,RB,Adrian Killins Jr. (13370720),Adrian Killins Jr.,13370720,RB/FLEX/S-FLEX,6300,UCF@PITT 09/21/2019 03:30PM ET,UCF,18.3
,,,,,,,,,QB,Jacob Eason (13370595),Jacob Eason,13370595,QB/S-FLEX,6100,UW@BYU 09/21/2019 03:30PM ET,UW,20.71
,,,,,,,,,RB,Greg McCrae (13370827),Greg McCrae,13370827,RB/FLEX/S-FLEX,6100,UCF@PITT 09/21/2019 03:30PM ET,UCF,16.17
,,,,,,,,,WR,Eli Stove (13370603),Eli Stove,13370603,WR/FLEX/S-FLEX,6000,AUB@TA&M 09/21/2019 03:30PM ET,AUB,17.1
,,,,,,,,,WR,Jalen Knox (13371109),Jalen Knox,13371109,WR/FLEX/S-FLEX,6000,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,10.4
,,,,,,,,,WR,Tamorrion Terry (13370879),Tamorrion Terry,13370879,WR/FLEX/S-FLEX,6000,UL@FSU 09/21/2019 03:30PM ET,FSU,14.47
,,,,,,,,,WR,Shi Smith (13370965),Shi Smith,13370965,WR/FLEX/S-FLEX,5900,SCAR@MIZZ 09/21/2019 04:00PM ET,SCAR,11.83
,,,,,,,,,QB,Kenny Pickett (13370807),Kenny Pickett,13370807,QB/S-FLEX,5900,UCF@PITT 09/21/2019 03:30PM ET,PITT,16.44
,,,,,,,,,QB,Connor Blumrick (13370767),Connor Blumrick,13370767,QB/S-FLEX,5800,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,0
,,,,,,,,,WR,Jonathan Nance (13370514),Jonathan Nance,13370514,WR/FLEX/S-FLEX,5800,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,8.47
,,,,,,,,,RB,Tyler Badie (13371103),Tyler Badie,13371103,RB/FLEX/S-FLEX,5800,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,16.93
,,,,,,,,,WR,D.J. Matthews (13370873),D.J. Matthews,13370873,WR/FLEX/S-FLEX,5800,UL@FSU 09/21/2019 03:30PM ET,FSU,12.4
,,,,,,,,,QB,Malik Cunningham (13370912),Malik Cunningham,13370912,QB/S-FLEX,5800,UL@FSU 09/21/2019 03:30PM ET,UL,15.81
,,,,,,,,,WR,Maurice Ffrench (13370639),Maurice Ffrench,13370639,WR/FLEX/S-FLEX,5800,UCF@PITT 09/21/2019 03:30PM ET,PITT,18.73
,,,,,,,,,WR,Gabriel Davis (13370793),Gabriel Davis,13370793,WR/FLEX/S-FLEX,5800,UCF@PITT 09/21/2019 03:30PM ET,UCF,16.97
,,,,,,,,,WR,Johnathon Johnson (13370555),Johnathon Johnson,13370555,WR/FLEX/S-FLEX,5700,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,7.2
,,,,,,,,,WR,Tre Nixon (13370734),Tre Nixon,13370734,WR/FLEX/S-FLEX,5700,UCF@PITT 09/21/2019 03:30PM ET,UCF,18.95
,,,,,,,,,QB,Joey Gatewood (13371050),Joey Gatewood,13371050,QB/S-FLEX,5500,AUB@TA&M 09/21/2019 03:30PM ET,AUB,11.2
,,,,,,,,,WR,Aaron Fuller (13370674),Aaron Fuller,13370674,WR/FLEX/S-FLEX,5500,UW@BYU 09/21/2019 03:30PM ET,UW,15.93
,,,,,,,,,WR,Taysir Mack (13370717),Taysir Mack,13370717,WR/FLEX/S-FLEX,5500,UCF@PITT 09/21/2019 03:30PM ET,PITT,15.17
,,,,,,,,,QB,Taylor Powell (13370863),Taylor Powell,13370863,QB/S-FLEX,5400,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,0.34
,,,,,,,,,WR,Hunter Bryant (13370833),Hunter Bryant,13370833,WR/FLEX/S-FLEX,5400,UW@BYU 09/21/2019 03:30PM ET,UW,15.87
,,,,,,,,,WR,Seth Williams (13371067),Seth Williams,13371067,WR/FLEX/S-FLEX,5300,AUB@TA&M 09/21/2019 03:30PM ET,AUB,9.55
,,,,,,,,,RB,Rico Dowdle (13370693),Rico Dowdle,13370693,RB/FLEX/S-FLEX,5300,SCAR@MIZZ 09/21/2019 04:00PM ET,SCAR,17.33
,,,,,,,,,RB,Ty'Son Williams (13370506),Ty'Son Williams,13370506,RB/FLEX/S-FLEX,5300,UW@BYU 09/21/2019 03:30PM ET,BYU,16.2
,,,,,,,,,WR,Andre Baccellia (13370495),Andre Baccellia,13370495,WR/FLEX/S-FLEX,5200,UW@BYU 09/21/2019 03:30PM ET,UW,11.63
,,,,,,,,,RB,Tavien Feaster (13370592),Tavien Feaster,13370592,RB/FLEX/S-FLEX,5100,SCAR@MIZZ 09/21/2019 04:00PM ET,SCAR,11.53
,,,,,,,,,WR,Albert Okwuegbunam (13370612),Albert Okwuegbunam,13370612,WR/FLEX/S-FLEX,5100,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,12.93
,,,,,,,,,QB,Brandon Wimbush (13370561),Brandon Wimbush,13370561,QB/S-FLEX,5100,UCF@PITT 09/21/2019 03:30PM ET,UCF,8.26
,,,,,,,,,RB,Isaiah Spiller (13371463),Isaiah Spiller,13371463,RB/FLEX/S-FLEX,5000,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,16.97
,,,,,,,,,QB,Jaren Hall (13371221),Jaren Hall,13371221,QB/S-FLEX,4900,UW@BYU 09/21/2019 03:30PM ET,BYU,-0.02
,,,,,,,,,QB,Alex Hornibrook (13370509),Alex Hornibrook,13370509,QB/S-FLEX,4900,UL@FSU 09/21/2019 03:30PM ET,FSU,0
,,,,,,,,,RB,A.J. Davis (13370903),A.J. Davis,13370903,RB/FLEX/S-FLEX,4900,UCF@PITT 09/21/2019 03:30PM ET,PITT,14.83
,,,,,,,,,WR,Kendrick Rogers (13370633),Kendrick Rogers,13370633,WR/FLEX/S-FLEX,4800,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,9.17
,,,,,,,,,WR,Camron Buckley (13370888),Camron Buckley,13370888,WR/FLEX/S-FLEX,4800,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,6.5
,,,,,,,,,QB,Dakereon Joyner (13370997),Dakereon Joyner,13370997,QB/S-FLEX,4800,SCAR@MIZZ 09/21/2019 04:00PM ET,SCAR,6.07
,,,,,,,,,RB,Richard Newton (13371022),Richard Newton,13371022,RB/FLEX/S-FLEX,4800,UW@BYU 09/21/2019 03:30PM ET,UW,13.4
,,,,,,,,,RB,Otis Anderson (13370787),Otis Anderson,13370787,RB/FLEX/S-FLEX,4800,UCF@PITT 09/21/2019 03:30PM ET,UCF,14.1
,,,,,,,,,RB,Kam Martin (13370621),Kam Martin,13370621,RB/FLEX/S-FLEX,4600,AUB@TA&M 09/21/2019 03:30PM ET,AUB,6.83
,,,,,,,,,RB,Jacob Kibodi (13370894),Jacob Kibodi,13370894,RB/FLEX/S-FLEX,4600,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,10.5
,,,,,,,,,RB,Mon Denson (13370546),Mon Denson,13370546,RB/FLEX/S-FLEX,4600,SCAR@MIZZ 09/21/2019 04:00PM ET,SCAR,20.8
,,,,,,,,,QB,Jacob Sirmon (13371011),Jacob Sirmon,13371011,QB/S-FLEX,4600,UW@BYU 09/21/2019 03:30PM ET,UW,0.09
,,,,,,,,,WR,Tre'Shaun Harrison (13371146),Tre'Shaun Harrison,13371146,WR/FLEX/S-FLEX,4600,UL@FSU 09/21/2019 03:30PM ET,FSU,8.05
,,,,,,,,,WR,Marlon Williams (13370804),Marlon Williams,13370804,WR/FLEX/S-FLEX,4600,UCF@PITT 09/21/2019 03:30PM ET,UCF,11.35
,,,,,,,,,QB,Colton Taylor (13370774),Colton Taylor,13370774,QB/S-FLEX,4500,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,0
,,,,,,,,,QB,Alex Fernandes (13370922),Alex Fernandes,13370922,QB/S-FLEX,4500,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,0
,,,,,,,,,QB,Wil Appleton (13370989),Wil Appleton,13370989,QB/S-FLEX,4500,AUB@TA&M 09/21/2019 03:30PM ET,AUB,0
,,,,,,,,,QB,James Foster (13371181),James Foster,13371181,QB/S-FLEX,4500,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,2.7
,,,,,,,,,QB,Cord Sandberg (13371195),Cord Sandberg,13371195,QB/S-FLEX,4500,AUB@TA&M 09/21/2019 03:30PM ET,AUB,0.4
,,,,,,,,,QB,Reinard Britz (13371252),Reinard Britz,13371252,QB/S-FLEX,4500,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,0
,,,,,,,,,QB,Zach Calzada (13371302),Zach Calzada,13371302,QB/S-FLEX,4500,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,5.52
,,,,,,,,,QB,Jake Smith (13371458),Jake Smith,13371458,QB/S-FLEX,4500,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,0
