QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,RB,Jonathan Taylor (13532553),Jonathan Taylor,13532553,RB/FLEX/S-FLEX,8800,MSU@WISC 10/12/2019 03:30PM ET,WISC,41.78
,,,,,,,,,QB,Tua Tagovailoa (13532322),Tua Tagovailoa,13532322,QB/S-FLEX,8600,BAMA@TA&M 10/12/2019 03:30PM ET,BAMA,37.24
,,,,,,,,,QB,Anthony Gordon (13532205),Anthony Gordon,13532205,QB/S-FLEX,8200,WSU@ASU 10/12/2019 03:30PM ET,WSU,36.59
,,,,,,,,,QB,Brock Purdy (13532741),Brock Purdy,13532741,QB/S-FLEX,8000,ISU@WVU 10/12/2019 04:00PM ET,ISU,31.28
,,,,,,,,,QB,Charlie Brewer (13532391),Charlie Brewer,13532391,QB/S-FLEX,7900,TTU@BAY 10/12/2019 04:00PM ET,BAY,23.30
,,,,,,,,,RB,Cam Akers (13532374),Cam Akers,13532374,RB/FLEX/S-FLEX,7700,FSU@CLEM 10/12/2019 03:30PM ET,FSU,29.2
,,,,,,,,,WR,Jerry Jeudy (13532314),Jerry Jeudy,13532314,WR/FLEX/S-FLEX,7600,BAMA@TA&M 10/12/2019 03:30PM ET,BAMA,25.76
,,,,,,,,,RB,Eno Benjamin (13532354),Eno Benjamin,13532354,RB/FLEX/S-FLEX,7500,WSU@ASU 10/12/2019 03:30PM ET,ASU,24.06
,,,,,,,,,RB,Max Borghi (13532637),Max Borghi,13532637,RB/FLEX/S-FLEX,7400,WSU@ASU 10/12/2019 03:30PM ET,WSU,25.1
,,,,,,,,,WR,Henry Ruggs III (13532504),Henry Ruggs III,13532504,WR/FLEX/S-FLEX,7300,BAMA@TA&M 10/12/2019 03:30PM ET,BAMA,19.32
,,,,,,,,,QB,Trevor Lawrence (13532676),Trevor Lawrence,13532676,QB/S-FLEX,7200,FSU@CLEM 10/12/2019 03:30PM ET,CLEM,21.85
,,,,,,,,,WR,Easop Winston Jr. (13532365),Easop Winston Jr.,13532365,WR/FLEX/S-FLEX,7100,WSU@ASU 10/12/2019 03:30PM ET,WSU,23.76
,,,,,,,,,WR,Denzel Mims (13532246),Denzel Mims,13532246,WR/FLEX/S-FLEX,7100,TTU@BAY 10/12/2019 04:00PM ET,BAY,22.36
,,,,,,,,,RB,Travis Etienne (13532401),Travis Etienne,13532401,RB/FLEX/S-FLEX,7100,FSU@CLEM 10/12/2019 03:30PM ET,CLEM,19.24
,,,,,,,,,QB,Kellen Mond (13532347),Kellen Mond,13532347,QB/S-FLEX,7000,BAMA@TA&M 10/12/2019 03:30PM ET,TA&M,23.46
,,,,,,,,,WR,T.J. Vasher (13532234),T.J. Vasher,13532234,WR/FLEX/S-FLEX,6900,TTU@BAY 10/12/2019 04:00PM ET,TTU,16.56
,,,,,,,,,RB,Najee Harris (13532327),Najee Harris,13532327,RB/FLEX/S-FLEX,6800,BAMA@TA&M 10/12/2019 03:30PM ET,BAMA,16.02
