QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Anthony Gordon (13234788),Anthony Gordon,13234788,QB/S-FLEX,8600,NMST@WSU 08/31/2019 10:00PM ET,WSU,-0.16
,,,,,,,,,QB,Armani Rogers (13234783),Armani Rogers,13234783,QB/S-FLEX,8500,SOUT@UNLV 08/31/2019 10:00PM ET,UNLV,28.76
,,,,,,,,,RB,Max Borghi (13234785),Max Borghi,13234785,RB/FLEX/S-FLEX,8200,NMST@WSU 08/31/2019 10:00PM ET,WSU,15.23
,,,,,,,,,QB,JT Daniels (13234790),JT Daniels,13234790,QB/S-FLEX,7100,FRES@USC 08/31/2019 10:30PM ET,USC,13.36
,,,,,,,,,QB,Gage Gubrud (13234792),Gage Gubrud,13234792,QB/S-FLEX,7000,NMST@WSU 08/31/2019 10:00PM ET,WSU,27.91
,,,,,,,,,WR,Davontavean Martin (13234797),Davontavean Martin,13234797,WR/FLEX/S-FLEX,7000,NMST@WSU 08/31/2019 10:00PM ET,WSU,14.96
,,,,,,,,,RB,Jason Huntley (13234794),Jason Huntley,13234794,RB/FLEX/S-FLEX,6800,NMST@WSU 08/31/2019 10:00PM ET,NMST,19.45
,,,,,,,,,QB,Jorge Reyna (13234800),Jorge Reyna,13234800,QB/S-FLEX,6600,FRES@USC 08/31/2019 10:30PM ET,FRES,2.66
,,,,,,,,,QB,Josh Adkins (13234804),Josh Adkins,13234804,QB/S-FLEX,6400,NMST@WSU 08/31/2019 10:00PM ET,NMST,16.32
,,,,,,,,,RB,Ronnie Rivers (13234806),Ronnie Rivers,13234806,RB/FLEX/S-FLEX,6300,FRES@USC 08/31/2019 10:30PM ET,FRES,19.58
,,,,,,,,,WR,Derrion Grim (13234809),Derrion Grim,13234809,WR/FLEX/S-FLEX,6300,FRES@USC 08/31/2019 10:30PM ET,FRES,4.86
,,,,,,,,,QB,Chris Helbig (13234802),Chris Helbig,13234802,QB/S-FLEX,6300,SOUT@UNLV 08/31/2019 10:00PM ET,SOUT,26.96
,,,,,,,,,WR,Tyleek Collins (13234818),Tyleek Collins,13234818,WR/FLEX/S-FLEX,6300,SOUT@UNLV 08/31/2019 10:00PM ET,UNLV,10.97
