QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Justin Herbert (13334496),Justin Herbert,13334496,QB/S-FLEX,8400,MONT@ORE 09/14/2019 10:45PM ET,ORE,23.24
,,,,,,,,,QB,Khalil Tate (13334498),Khalil Tate,13334498,QB/S-FLEX,8200,TTU@ARIZ 09/14/2019 10:30PM ET,ARIZ,30.43
,,,,,,,,,WR,T.J. Vasher (13334500),T.J. Vasher,13334500,WR/FLEX/S-FLEX,7700,TTU@ARIZ 09/14/2019 10:30PM ET,TTU,19.5
,,,,,,,,,WR,Jacob Breeland (13334503),Jacob Breeland,13334503,WR/FLEX/S-FLEX,7200,MONT@ORE 09/14/2019 10:45PM ET,ORE,15.4
,,,,,,,,,QB,Alan Bowman (13334506),Alan Bowman,13334506,QB/S-FLEX,6800,TTU@ARIZ 09/14/2019 10:30PM ET,TTU,28.96
,,,,,,,,,WR,CT Thomas (13334508),CT Thomas,13334508,WR/FLEX/S-FLEX,6700,PORST@BSU 09/14/2019 10:15PM ET,BSU,18.3
,,,,,,,,,RB,CJ Verdell (13334511),CJ Verdell,13334511,RB/FLEX/S-FLEX,6600,MONT@ORE 09/14/2019 10:45PM ET,ORE,14
,,,,,,,,,WR,John Hightower (13334514),John Hightower,13334514,WR/FLEX/S-FLEX,6500,PORST@BSU 09/14/2019 10:15PM ET,BSU,8.95
,,,,,,,,,RB,J.J. Taylor (13334517),J.J. Taylor,13334517,RB/FLEX/S-FLEX,6400,TTU@ARIZ 09/14/2019 10:30PM ET,ARIZ,17.1
,,,,,,,,,WR,Khalil Shakir (13334520),Khalil Shakir,13334520,WR/FLEX/S-FLEX,6300,PORST@BSU 09/14/2019 10:15PM ET,BSU,18.3
,,,,,,,,,QB,Tyler Shough (13334523),Tyler Shough,13334523,QB/S-FLEX,6100,MONT@ORE 09/14/2019 10:45PM ET,ORE,12.78
,,,,,,,,,QB,Rhett Rodriguez (13334525),Rhett Rodriguez,13334525,QB/S-FLEX,6000,TTU@ARIZ 09/14/2019 10:30PM ET,ARIZ,-0.3
,,,,,,,,,RB,Marcus Knight (13334527),Marcus Knight,13334527,RB/FLEX/S-FLEX,6000,MONT@ORE 09/14/2019 10:45PM ET,MONT,22.4
,,,,,,,,,WR,Mataio Talalemotu (13334530),Mataio Talalemotu,13334530,WR/FLEX/S-FLEX,5900,PORST@BSU 09/14/2019 10:15PM ET,PORST,15.3
,,,,,,,,,QB,Hank Bachmeier (13334533),Hank Bachmeier,13334533,QB/S-FLEX,5800,PORST@BSU 09/14/2019 10:15PM ET,BSU,20.93
,,,,,,,,,WR,Davis Koetter (13334535),Davis Koetter,13334535,WR/FLEX/S-FLEX,5700,PORST@BSU 09/14/2019 10:15PM ET,PORST,16.25
,,,,,,,,,WR,Jerry Louie-McGee (13334538),Jerry Louie-McGee,13334538,WR/FLEX/S-FLEX,5600,MONT@ORE 09/14/2019 10:45PM ET,MONT,17.15
