QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,RB,Jonathan Taylor (13357175),Jonathan Taylor,13357175,RB/FLEX/S-FLEX,8900,MICH@WISC 09/21/2019 12:00PM ET,WISC,44.6
,,,,,,,,,QB,Tua Tagovailoa (13357178),Tua Tagovailoa,13357178,QB/S-FLEX,8700,USM@BAMA 09/21/2019 12:00PM ET,BAMA,34.63
,,,,,,,,,QB,Joe Burrow (13357180),Joe Burrow,13357180,QB/S-FLEX,8500,LSU@VAND 09/21/2019 12:00PM ET,LSU,34.96
,,,,,,,,,WR,Jerry Jeudy (13357182),Jerry Jeudy,13357182,WR/FLEX/S-FLEX,8300,USM@BAMA 09/21/2019 12:00PM ET,BAMA,28.27
,,,,,,,,,QB,Kellen Mond (13357185),Kellen Mond,13357185,QB/S-FLEX,7900,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,21.99
,,,,,,,,,RB,Cam Akers (13357187),Cam Akers,13357187,RB/FLEX/S-FLEX,7800,UL@FSU 09/21/2019 03:30PM ET,FSU,30.43
,,,,,,,,,RB,Larry Rountree III (13357190),Larry Rountree III,13357190,RB/FLEX/S-FLEX,7700,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,22.4
,,,,,,,,,WR,Justin Jefferson (13357193),Justin Jefferson,13357193,WR/FLEX/S-FLEX,7600,LSU@VAND 09/21/2019 12:00PM ET,LSU,28.8
,,,,,,,,,QB,Kelly Bryant (13357196),Kelly Bryant,13357196,QB/S-FLEX,7500,SCAR@MIZZ 09/21/2019 04:00PM ET,MIZZ,19.51
,,,,,,,,,QB,Bo Nix (13357198),Bo Nix,13357198,QB/S-FLEX,7400,AUB@TA&M 09/21/2019 03:30PM ET,AUB,16.57
,,,,,,,,,RB,Salvon Ahmed (13357200),Salvon Ahmed,13357200,RB/FLEX/S-FLEX,7300,UW@BYU 09/21/2019 03:30PM ET,UW,16.2
,,,,,,,,,WR,Terrace Marshall Jr. (13357203),Terrace Marshall Jr.,13357203,WR/FLEX/S-FLEX,7200,LSU@VAND 09/21/2019 12:00PM ET,LSU,25.97
,,,,,,,,,RB,Najee Harris (13357206),Najee Harris,13357206,RB/FLEX/S-FLEX,7100,USM@BAMA 09/21/2019 12:00PM ET,BAMA,16.5
,,,,,,,,,QB,Dillon Gabriel (13357209),Dillon Gabriel,13357209,QB/S-FLEX,7000,UCF@PITT 09/21/2019 03:30PM ET,UCF,25.52
,,,,,,,,,WR,Elijah Moore (13357211),Elijah Moore,13357211,WR/FLEX/S-FLEX,6900,CAL@MISS 09/21/2019 12:00PM ET,MISS,22.2
,,,,,,,,,RB,JaTarvious Whitlow (13357214),JaTarvious Whitlow,13357214,RB/FLEX/S-FLEX,6800,AUB@TA&M 09/21/2019 03:30PM ET,AUB,19.87
,,,,,,,,,RB,Scottie Phillips (13357217),Scottie Phillips,13357217,RB/FLEX/S-FLEX,6800,CAL@MISS 09/21/2019 12:00PM ET,MISS,20.73
,,,,,,,,,WR,Jhamon Ausbon (13357220),Jhamon Ausbon,13357220,WR/FLEX/S-FLEX,6700,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,19.1
,,,,,,,,,QB,Mac Jones (13357225),Mac Jones,13357225,QB/S-FLEX,6600,USM@BAMA 09/21/2019 12:00PM ET,BAMA,5.37
,,,,,,,,,WR,Quartney Davis (13357231),Quartney Davis,13357231,WR/FLEX/S-FLEX,6600,AUB@TA&M 09/21/2019 03:30PM ET,TA&M,15.7
,,,,,,,,,QB,Kyle Trask (13357223),Kyle Trask,13357223,QB/S-FLEX,6600,TENN@UF 09/21/2019 12:00PM ET,UF,8.52
,,,,,,,,,QB,Zach Wilson (13357227),Zach Wilson,13357227,QB/S-FLEX,6600,UW@BYU 09/21/2019 03:30PM ET,BYU,16.13
,,,,,,,,,QB,Brian Lewerke (13357229),Brian Lewerke,13357229,QB/S-FLEX,6600,MSU@NW 09/21/2019 12:00PM ET,MSU,19.19
,,,,,,,,,WR,Henry Ruggs III (13357234),Henry Ruggs III,13357234,WR/FLEX/S-FLEX,6500,USM@BAMA 09/21/2019 12:00PM ET,BAMA,20.23
