QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Tua Tagovailoa (13227478),Tua Tagovailoa,13227478,QB/S-FLEX,9200,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,25.98
,,,,,,,,,WR,Jerry Jeudy (13227480),Jerry Jeudy,13227480,WR/FLEX/S-FLEX,8300,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,19.83
,,,,,,,,,QB,Ryan Willis (13227483),Ryan Willis,13227483,QB/S-FLEX,8000,VT@BC 08/31/2019 04:00PM ET,VT,22.17
,,,,,,,,,QB,Jake Bentley (13227485),Jake Bentley,13227485,QB/S-FLEX,7700,SCAR@UNC 08/31/2019 03:30PM ET,SCAR,21.30
,,,,,,,,,RB,AJ Dillon (13227487),AJ Dillon,13227487,RB/FLEX/S-FLEX,7500,VT@BC 08/31/2019 04:00PM ET,BC,18.54
,,,,,,,,,QB,K.J. Costello (13227490),K.J. Costello,13227490,QB/S-FLEX,7400,NW@STAN 08/31/2019 04:00PM ET,STAN,20.43
,,,,,,,,,RB,Najee Harris (13227492),Najee Harris,13227492,RB/FLEX/S-FLEX,7300,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,7.33
,,,,,,,,,WR,Bryan Edwards (13227495),Bryan Edwards,13227495,WR/FLEX/S-FLEX,7300,SCAR@UNC 08/31/2019 03:30PM ET,SCAR,14.89
,,,,,,,,,WR,Henry Ruggs III (13227498),Henry Ruggs III,13227498,WR/FLEX/S-FLEX,6900,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,13.65
,,,,,,,,,WR,Damon Hazelton (13227501),Damon Hazelton,13227501,WR/FLEX/S-FLEX,6600,VT@BC 08/31/2019 04:00PM ET,VT,14.58
,,,,,,,,,QB,Hunter Johnson (13227504),Hunter Johnson,13227504,QB/S-FLEX,6500,NW@STAN 08/31/2019 04:00PM ET,NW,0
,,,,,,,,,RB,Isaiah Bowser (13227508),Isaiah Bowser,13227508,RB/FLEX/S-FLEX,6400,NW@STAN 08/31/2019 04:00PM ET,NW,14.93
,,,,,,,,,QB,Hendon Hooker (13227506),Hendon Hooker,13227506,QB/S-FLEX,6400,VT@BC 08/31/2019 04:00PM ET,VT,3.57
,,,,,,,,,QB,Anthony Brown (13227511),Anthony Brown,13227511,QB/S-FLEX,6300,VT@BC 08/31/2019 04:00PM ET,BC,14.23
,,,,,,,,,WR,Jaylen Waddle (13227520),Jaylen Waddle,13227520,WR/FLEX/S-FLEX,6200,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,12.45
,,,,,,,,,QB,Sam Howell (13227515),Sam Howell,13227515,QB/S-FLEX,6200,SCAR@UNC 08/31/2019 03:30PM ET,UNC,0
,,,,,,,,,RB,Michael Carter (13227517),Michael Carter,13227517,RB/FLEX/S-FLEX,6200,SCAR@UNC 08/31/2019 03:30PM ET,UNC,13.36
,,,,,,,,,QB,Braxton Burmeister (13227513),Braxton Burmeister,13227513,QB/S-FLEX,6200,VT@BC 08/31/2019 04:00PM ET,VT,1.16
,,,,,,,,,QB,Mac Jones (13227523),Mac Jones,13227523,QB/S-FLEX,6000,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,1.35
,,,,,,,,,QB,Jace Ruder (13227525),Jace Ruder,13227525,QB/S-FLEX,6000,SCAR@UNC 08/31/2019 03:30PM ET,UNC,9.3
,,,,,,,,,RB,Cameron Scarlett (13227527),Cameron Scarlett,13227527,RB/FLEX/S-FLEX,5900,NW@STAN 08/31/2019 04:00PM ET,STAN,8.3
,,,,,,,,,WR,Colby Parkinson (13227530),Colby Parkinson,13227530,WR/FLEX/S-FLEX,5900,NW@STAN 08/31/2019 04:00PM ET,STAN,10.21
,,,,,,,,,RB,Antonio Williams (13227533),Antonio Williams,13227533,RB/FLEX/S-FLEX,5800,SCAR@UNC 08/31/2019 03:30PM ET,UNC,12.72
,,,,,,,,,WR,Tre Turner (13227536),Tre Turner,13227536,WR/FLEX/S-FLEX,5800,VT@BC 08/31/2019 04:00PM ET,VT,9.97
,,,,,,,,,WR,Dazz Newsome (13227539),Dazz Newsome,13227539,WR/FLEX/S-FLEX,5700,SCAR@UNC 08/31/2019 03:30PM ET,UNC,12.08
,,,,,,,,,WR,Shi Smith (13227542),Shi Smith,13227542,WR/FLEX/S-FLEX,5600,SCAR@UNC 08/31/2019 03:30PM ET,SCAR,12.94
,,,,,,,,,WR,Simi Fehoko (13227545),Simi Fehoko,13227545,WR/FLEX/S-FLEX,5600,NW@STAN 08/31/2019 04:00PM ET,STAN,1.6
,,,,,,,,,QB,Dakereon Joyner (13227548),Dakereon Joyner,13227548,QB/S-FLEX,5500,SCAR@UNC 08/31/2019 03:30PM ET,SCAR,2.44
,,,,,,,,,WR,Kobay White (13227550),Kobay White,13227550,WR/FLEX/S-FLEX,5500,VT@BC 08/31/2019 04:00PM ET,BC,8.43
,,,,,,,,,RB,Brian Robinson Jr. (13227553),Brian Robinson Jr.,13227553,RB/FLEX/S-FLEX,5300,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,4.36
,,,,,,,,,WR,Devonta Smith (13227556),Devonta Smith,13227556,WR/FLEX/S-FLEX,5300,DUKE@BAMA 08/31/2019 03:30PM ET,BAMA,11.72
,,,,,,,,,QB,Quentin Harris (13227559),Quentin Harris,13227559,QB/S-FLEX,5200,DUKE@BAMA 08/31/2019 03:30PM ET,DUKE,7.95
,,,,,,,,,RB,Rico Dowdle (13227561),Rico Dowdle,13227561,RB/FLEX/S-FLEX,5100,SCAR@UNC 08/31/2019 03:30PM ET,SCAR,10.72
,,,,,,,,,WR,OrTre Smith (13227567),OrTre Smith,13227567,WR/FLEX/S-FLEX,5100,SCAR@UNC 08/31/2019 03:30PM ET,SCAR,2.75
,,,,,,,,,WR,Bennett Skowronek (13227564),Bennett Skowronek,13227564,WR/FLEX/S-FLEX,5100,NW@STAN 08/31/2019 04:00PM ET,NW,8.51
,,,,,,,,,WR,Connor Wedington (13227570),Connor Wedington,13227570,WR/FLEX/S-FLEX,5100,NW@STAN 08/31/2019 04:00PM ET,STAN,3.88
,,,,,,,,,WR,Jake Bobo (13227577),Jake Bobo,13227577,WR/FLEX/S-FLEX,5000,DUKE@BAMA 08/31/2019 03:30PM ET,DUKE,3.27
,,,,,,,,,QB,TJ Green (13227573),TJ Green,13227573,QB/S-FLEX,5000,NW@STAN 08/31/2019 04:00PM ET,NW,2.77
,,,,,,,,,QB,Davis Mills (13227575),Davis Mills,13227575,QB/S-FLEX,5000,NW@STAN 08/31/2019 04:00PM ET,STAN,0.5
,,,,,,,,,WR,Dyami Brown (13227580),Dyami Brown,13227580,WR/FLEX/S-FLEX,4900,SCAR@UNC 08/31/2019 03:30PM ET,UNC,4.48
,,,,,,,,,WR,Ben Glines (13227583),Ben Glines,13227583,WR/FLEX/S-FLEX,4900,VT@BC 08/31/2019 04:00PM ET,BC,11.3
,,,,,,,,,WR,Osiris St. Brown (13227586),Osiris St. Brown,13227586,WR/FLEX/S-FLEX,4800,NW@STAN 08/31/2019 04:00PM ET,STAN,4.91
