QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,QB,Joe Burrow (13535214),Joe Burrow,13535214,QB/S-FLEX,8200,UF@LSU 10/12/2019 08:00PM ET,LSU,38.35
,,,,,,,,,QB,Jamie Newman (13535216),Jamie Newman,13535216,QB/S-FLEX,7800,UL@WAKE 10/12/2019 07:30PM ET,WAKE,33.81
,,,,,,,,,WR,Isaiah Hodgins (13535218),Isaiah Hodgins,13535218,WR/FLEX/S-FLEX,7700,UTAH@ORST 10/12/2019 08:00PM ET,ORST,33.84
,,,,,,,,,WR,Ja'Marr Chase (13535221),Ja'Marr Chase,13535221,WR/FLEX/S-FLEX,7500,UF@LSU 10/12/2019 08:00PM ET,LSU,28.02
,,,,,,,,,QB,Ian Book (13535224),Ian Book,13535224,QB/S-FLEX,7400,USC@ND 10/12/2019 07:30PM ET,ND,25.61
,,,,,,,,,WR,Sage Surratt (13535226),Sage Surratt,13535226,WR/FLEX/S-FLEX,7300,UL@WAKE 10/12/2019 07:30PM ET,WAKE,26.1
,,,,,,,,,QB,Sean Clifford (13535229),Sean Clifford,13535229,QB/S-FLEX,7200,PSU@IOWA 10/12/2019 07:30PM ET,PSU,27.74
,,,,,,,,,WR,Justin Jefferson (13535231),Justin Jefferson,13535231,WR/FLEX/S-FLEX,7100,UF@LSU 10/12/2019 08:00PM ET,LSU,27.14
,,,,,,,,,WR,Terrace Marshall Jr. (13535238),Terrace Marshall Jr.,13535238,WR/FLEX/S-FLEX,7000,UF@LSU 10/12/2019 08:00PM ET,LSU,22.35
,,,,,,,,,QB,Kelly Bryant (13535234),Kelly Bryant,13535234,QB/S-FLEX,7000,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,22.23
,,,,,,,,,QB,Tyler Huntley (13535236),Tyler Huntley,13535236,QB/S-FLEX,7000,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,22.77
,,,,,,,,,WR,Michael Pittman Jr. (13535241),Michael Pittman Jr.,13535241,WR/FLEX/S-FLEX,6900,USC@ND 10/12/2019 07:30PM ET,USC,22.42
,,,,,,,,,QB,Adrian Martinez (13535244),Adrian Martinez,13535244,QB/S-FLEX,6900,NEB@MINN 10/12/2019 07:30PM ET,NEB,21.48
,,,,,,,,,RB,Larry Rountree III (13535246),Larry Rountree III,13535246,RB/FLEX/S-FLEX,6800,MISS@MIZZ 10/12/2019 07:00PM ET,MIZZ,17.52
,,,,,,,,,QB,Jawon Pass (13535249),Jawon Pass,13535249,QB/S-FLEX,6800,UL@WAKE 10/12/2019 07:30PM ET,UL,24.05
,,,,,,,,,RB,Zack Moss (13535251),Zack Moss,13535251,RB/FLEX/S-FLEX,6700,UTAH@ORST 10/12/2019 08:00PM ET,UTAH,18
,,,,,,,,,QB,John Rhys Plumlee (13535256),John Rhys Plumlee,13535256,QB/S-FLEX,6500,MISS@MIZZ 10/12/2019 07:00PM ET,MISS,23.53
,,,,,,,,,QB,Jake Luton (13535254),Jake Luton,13535254,QB/S-FLEX,6500,UTAH@ORST 10/12/2019 08:00PM ET,ORST,23.74
,,,,,,,,,QB,Myles Brennan (13535258),Myles Brennan,13535258,QB/S-FLEX,6400,UF@LSU 10/12/2019 08:00PM ET,LSU,2.84
,,,,,,,,,WR,Scotty Washington (13535263),Scotty Washington,13535263,WR/FLEX/S-FLEX,6400,UL@WAKE 10/12/2019 07:30PM ET,WAKE,23.2
,,,,,,,,,WR,Tyler Johnson (13535260),Tyler Johnson,13535260,WR/FLEX/S-FLEX,6400,NEB@MINN 10/12/2019 07:30PM ET,MINN,19.58
,,,,,,,,,WR,Chase Claypool (13535268),Chase Claypool,13535268,WR/FLEX/S-FLEX,6300,USC@ND 10/12/2019 07:30PM ET,ND,16.54
,,,,,,,,,QB,Malik Cunningham (13535266),Malik Cunningham,13535266,QB/S-FLEX,6300,UL@WAKE 10/12/2019 07:30PM ET,UL,20.38
,,,,,,,,,QB,Kedon Slovis (13535271),Kedon Slovis,13535271,QB/S-FLEX,6200,USC@ND 10/12/2019 07:30PM ET,USC,12.34
,,,,,,,,,WR,Rashod Bateman (13535273),Rashod Bateman,13535273,WR/FLEX/S-FLEX,6200,NEB@MINN 10/12/2019 07:30PM ET,MINN,21.94
