QB,RB,RB,WR,WR,WR,FLEX,S-FLEX,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,RB,Travis Etienne (13185845),Travis Etienne,13185845,RB/FLEX/S-FLEX,9500,GT@CLEM 08/29/2019 08:00PM ET,CLEM,24.31
,,,,,,,,,QB,Trevor Lawrence (13185848),Trevor Lawrence,13185848,QB/S-FLEX,9000,GT@CLEM 08/29/2019 08:00PM ET,CLEM,18.85
,,,,,,,,,RB,Eno Benjamin (13185850),Eno Benjamin,13185850,RB/FLEX/S-FLEX,8800,KENT@ASU 08/29/2019 10:00PM ET,ASU,27.73
,,,,,,,,,QB,Kellen Mond (13185853),Kellen Mond,13185853,QB/S-FLEX,8500,TXST@TA&M 08/29/2019 08:30PM ET,TA&M,23.74
,,,,,,,,,RB,Joshua Kelley (13185855),Joshua Kelley,13185855,RB/FLEX/S-FLEX,8000,UCLA@CINCY 08/29/2019 07:00PM ET,UCLA,23.69
,,,,,,,,,WR,Justyn Ross (13185858),Justyn Ross,13185858,WR/FLEX/S-FLEX,7900,GT@CLEM 08/29/2019 08:00PM ET,CLEM,14.93
,,,,,,,,,RB,Michael Warren II (13185861),Michael Warren II,13185861,RB/FLEX/S-FLEX,7800,UCLA@CINCY 08/29/2019 07:00PM ET,CINCY,26.76
,,,,,,,,,RB,Jashaun Corbin (13185864),Jashaun Corbin,13185864,RB/FLEX/S-FLEX,7700,TXST@TA&M 08/29/2019 08:30PM ET,TA&M,5.42
,,,,,,,,,WR,Tee Higgins (13185867),Tee Higgins,13185867,WR/FLEX/S-FLEX,7600,GT@CLEM 08/29/2019 08:00PM ET,CLEM,15.57
,,,,,,,,,QB,Desmond Ridder (13185870),Desmond Ridder,13185870,QB/S-FLEX,7400,UCLA@CINCY 08/29/2019 07:00PM ET,CINCY,20.24
,,,,,,,,,RB,Zack Moss (13185872),Zack Moss,13185872,RB/FLEX/S-FLEX,7200,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,23.51
,,,,,,,,,QB,Connor Blumrick (13185875),Connor Blumrick,13185875,QB/S-FLEX,7100,TXST@TA&M 08/29/2019 08:30PM ET,TA&M,2.32
,,,,,,,,,QB,Chase Brice (13185877),Chase Brice,13185877,QB/S-FLEX,7000,GT@CLEM 08/29/2019 08:00PM ET,CLEM,3.58
,,,,,,,,,WR,Quartney Davis (13185879),Quartney Davis,13185879,WR/FLEX/S-FLEX,6900,TXST@TA&M 08/29/2019 08:30PM ET,TA&M,12.65
,,,,,,,,,WR,Jhamon Ausbon (13185882),Jhamon Ausbon,13185882,WR/FLEX/S-FLEX,6800,TXST@TA&M 08/29/2019 08:30PM ET,TA&M,7.61
,,,,,,,,,QB,Dorian Thompson-Robinson (13185885),Dorian Thompson-Robinson,13185885,QB/S-FLEX,6700,UCLA@CINCY 08/29/2019 07:00PM ET,UCLA,9.03
,,,,,,,,,WR,Darnell Mooney (13185887),Darnell Mooney,13185887,WR/FLEX/S-FLEX,6700,FIU@TUL 08/29/2019 08:00PM ET,TUL,15.92
,,,,,,,,,WR,Kyle Williams (13185890),Kyle Williams,13185890,WR/FLEX/S-FLEX,6600,KENT@ASU 08/29/2019 10:00PM ET,ASU,8.05
,,,,,,,,,WR,Rashad Medaris (13185893),Rashad Medaris,13185893,WR/FLEX/S-FLEX,6600,UCLA@CINCY 08/29/2019 07:00PM ET,CINCY,9.42
,,,,,,,,,WR,Brandon Aiyuk (13185896),Brandon Aiyuk,13185896,WR/FLEX/S-FLEX,6500,KENT@ASU 08/29/2019 10:00PM ET,ASU,8.03
,,,,,,,,,WR,Theo Howard (13185899),Theo Howard,13185899,WR/FLEX/S-FLEX,6400,UCLA@CINCY 08/29/2019 07:00PM ET,UCLA,12.11
,,,,,,,,,RB,Lyn-J Dixon (13185902),Lyn-J Dixon,13185902,RB/FLEX/S-FLEX,6300,GT@CLEM 08/29/2019 08:00PM ET,CLEM,7.37
,,,,,,,,,QB,Tyler Huntley (13185905),Tyler Huntley,13185905,QB/S-FLEX,6200,UTAH@BYU 08/29/2019 10:15PM ET,UTAH,20.30
,,,,,,,,,WR,Jalen McCleskey (13185907),Jalen McCleskey,13185907,WR/FLEX/S-FLEX,6200,FIU@TUL 08/29/2019 08:00PM ET,TUL,12.25
,,,,,,,,,RB,Darius Bradwell (13185910),Darius Bradwell,13185910,RB/FLEX/S-FLEX,6200,FIU@TUL 08/29/2019 08:00PM ET,TUL,14.9
