CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,QB,Khalil Tate (13175797),Khalil Tate,13175797,CPT,20400,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,21.87
,,,,,,,QB,Cole McDonald (13175798),Cole McDonald,13175798,CPT,20100,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,28.76
,,,,,,,RB,J.J. Taylor (13175799),J.J. Taylor,13175799,CPT,15900,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,18.72
,,,,,,,WR,Cedric Byrd II (13175800),Cedric Byrd II,13175800,CPT,14100,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,16.79
,,,,,,,QB,Khalil Tate (13175723),Khalil Tate,13175723,UTIL,13600,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,21.87
,,,,,,,QB,Cole McDonald (13175724),Cole McDonald,13175724,UTIL,13400,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,28.76
,,,,,,,WR,Cedric Peterson (13175801),Cedric Peterson,13175801,CPT,12300,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,7.53
,,,,,,,WR,JoJo Ward (13175802),JoJo Ward,13175802,CPT,12000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,14.46
,,,,,,,QB,Justin Uahinui (13175805),Justin Uahinui,13175805,CPT,12000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Melquise Stovall (13175803),Melquise Stovall,13175803,CPT,11700,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,QB,Rhett Rodriguez (13175807),Rhett Rodriguez,13175807,CPT,11100,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,5.06
,,,,,,,WR,Brian Casteel (13175804),Brian Casteel,13175804,CPT,10800,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,RB,J.J. Taylor (13175725),J.J. Taylor,13175725,UTIL,10600,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,18.72
,,,,,,,WR,Cedric Byrd II (13175726),Cedric Byrd II,13175726,UTIL,9400,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,16.79
,,,,,,,WR,Cedric Peterson (13175727),Cedric Peterson,13175727,UTIL,8200,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,7.53
,,,,,,,WR,Jason-Matthew Sharsh (13175806),Jason-Matthew Sharsh,13175806,CPT,8100,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,6.04
,,,,,,,WR,JoJo Ward (13175728),JoJo Ward,13175728,UTIL,8000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,14.46
,,,,,,,QB,Justin Uahinui (13175731),Justin Uahinui,13175731,UTIL,8000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Melquise Stovall (13175729),Melquise Stovall,13175729,UTIL,7800,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,QB,Kevin Doyle (13175808),Kevin Doyle,13175808,CPT,7500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,QB,Rhett Rodriguez (13175733),Rhett Rodriguez,13175733,UTIL,7400,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,5.06
,,,,,,,WR,Brian Casteel (13175730),Brian Casteel,13175730,UTIL,7200,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,QB,Chevan Cordeiro (13175809),Chevan Cordeiro,13175809,CPT,7200,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,10.99
,,,,,,,QB,Luke Ashworth (13175810),Luke Ashworth,13175810,CPT,6900,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,QB,Grant Gunnell (13175811),Grant Gunnell,13175811,CPT,6600,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,QB,Boone Abbott (13175812),Boone Abbott,13175812,CPT,6300,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,K,Lucas Havrisik (13175741),Lucas Havrisik,13175741,CPT,6000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,6.29
,,,,,,,QB,Kamali'i Akina (13175813),Kamali'i Akina,13175813,CPT,6000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,K,Ryan Meskell (13175742),Ryan Meskell,13175742,CPT,5700,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,6.71
,,,,,,,QB,Zach Daniel (13175814),Zach Daniel,13175814,CPT,5700,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Jason-Matthew Sharsh (13175732),Jason-Matthew Sharsh,13175732,UTIL,5400,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,6.04
,,,,,,,QB,Kevin Doyle (13175734),Kevin Doyle,13175734,UTIL,5000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,QB,Chevan Cordeiro (13175735),Chevan Cordeiro,13175735,UTIL,4800,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,10.99
,,,,,,,WR,Stanley Berryhill III (13175817),Stanley Berryhill III,13175817,CPT,4800,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,4.95
,,,,,,,RB,Fred Holly III (13175819),Fred Holly III,13175819,CPT,4800,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,6.39
,,,,,,,QB,Luke Ashworth (13175736),Luke Ashworth,13175736,UTIL,4600,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,K,Michael Boyle (13175749),Michael Boyle,13175749,CPT,4500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,K,Nathan Halsell (13175751),Nathan Halsell,13175751,CPT,4500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,RB,Dayton Furuta (13175818),Dayton Furuta,13175818,CPT,4500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,7.23
,,,,,,,WR,Mekel Ealy (13175820),Mekel Ealy,13175820,CPT,4500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,QB,Taylor Graham (13175821),Taylor Graham,13175821,CPT,4500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,QB,Jeremy Higgins (13175822),Jeremy Higgins,13175822,CPT,4500,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,WR,Boobie Curry (13175824),Boobie Curry,13175824,CPT,4500,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,QB,Grant Gunnell (13175737),Grant Gunnell,13175737,UTIL,4400,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,QB,Boone Abbott (13175738),Boone Abbott,13175738,UTIL,4200,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,K,Lucas Havrisik (13175815),Lucas Havrisik,13175815,UTIL,4000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,6.29
,,,,,,,QB,Kamali'i Akina (13175739),Kamali'i Akina,13175739,UTIL,4000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,Miles Reed (13175826),Miles Reed,13175826,CPT,3900,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,1.64
,,,,,,,K,Ryan Meskell (13175816),Ryan Meskell,13175816,UTIL,3800,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,6.71
,,,,,,,QB,Zach Daniel (13175740),Zach Daniel,13175740,UTIL,3800,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,RB,Gary Brightwell (13175827),Gary Brightwell,13175827,CPT,3600,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,7.13
,,,,,,,WR,Drew Dixon (13175828),Drew Dixon,13175828,CPT,3300,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,WR,Stanley Berryhill III (13175743),Stanley Berryhill III,13175743,UTIL,3200,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,4.95
,,,,,,,RB,Fred Holly III (13175745),Fred Holly III,13175745,UTIL,3200,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,6.39
,,,,,,,K,Michael Boyle (13175823),Michael Boyle,13175823,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
,,,,,,,K,Nathan Halsell (13175825),Nathan Halsell,13175825,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,ARIZ,0
,,,,,,,RB,Dayton Furuta (13175744),Dayton Furuta,13175744,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,7.23
,,,,,,,WR,Mekel Ealy (13175746),Mekel Ealy,13175746,UTIL,3000,ARIZ@HAW 08/24/2019 10:30PM ET,HAW,0
