CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,QB,Feleipe Franks (13144085),Feleipe Franks,13144085,CPT,18600,MIA@UF 08/24/2019 07:00PM ET,UF,20.42
,,,,,,,RB,Lamical Perine (13144086),Lamical Perine,13144086,CPT,15000,MIA@UF 08/24/2019 07:00PM ET,UF,12.97
,,,,,,,QB,Jarren Williams (13144087),Jarren Williams,13144087,CPT,14700,MIA@UF 08/24/2019 07:00PM ET,MIA,6.88
,,,,,,,QB,Tate Martell (13144088),Tate Martell,13144088,CPT,13800,MIA@UF 08/24/2019 07:00PM ET,MIA,6.59
,,,,,,,QB,N'Kosi Perry (13144089),N'Kosi Perry,13144089,CPT,13200,MIA@UF 08/24/2019 07:00PM ET,MIA,9.91
,,,,,,,QB,Feleipe Franks (13144000),Feleipe Franks,13144000,UTIL,12400,MIA@UF 08/24/2019 07:00PM ET,UF,20.42
,,,,,,,RB,DeeJay Dallas (13144090),DeeJay Dallas,13144090,CPT,12300,MIA@UF 08/24/2019 07:00PM ET,MIA,9.86
,,,,,,,WR,Van Jefferson (13144091),Van Jefferson,13144091,CPT,11400,MIA@UF 08/24/2019 07:00PM ET,UF,11.02
,,,,,,,WR,K.J. Osborn (13144092),K.J. Osborn,13144092,CPT,11100,MIA@UF 08/24/2019 07:00PM ET,MIA,14.91
,,,,,,,WR,Jeff Thomas (13144093),Jeff Thomas,13144093,CPT,10500,MIA@UF 08/24/2019 07:00PM ET,MIA,11.11
,,,,,,,RB,Lamical Perine (13144001),Lamical Perine,13144001,UTIL,10000,MIA@UF 08/24/2019 07:00PM ET,UF,12.97
,,,,,,,QB,Jarren Williams (13144002),Jarren Williams,13144002,UTIL,9800,MIA@UF 08/24/2019 07:00PM ET,MIA,6.88
,,,,,,,WR,Trevon Grimes (13144094),Trevon Grimes,13144094,CPT,9300,MIA@UF 08/24/2019 07:00PM ET,UF,6.45
